v.,09.06.10
GCALCAg.lit ,information: 
300.0148,0.325915976422832
299.7372,0.325911531557252
299.4735,0.325910131752008
299.2209,0.325907507313092
298.992,0.32590598633151
298.7313,0.325903899168264
298.5044,0.325902862333302
298.2233,0.325900876294868
297.96,0.325899599190892
297.72,0.325899185152454
297.4679,0.325898338283073
297.2485,0.32589841649421
296.9811,0.325896877079808
296.741,0.325896936652227
296.4857,0.325897366933298
296.2376,0.325897847275316
295.9661,0.325897580912605
295.7288,0.325898014528212
295.4907,0.325897970273514
295.2282,0.325898001038677
294.9769,0.325898814881202
294.7274,0.325897869557155
294.4814,0.325898599853509
294.2184,0.325899101880192
293.9724,0.325899597491855
293.7397,0.325899473181187
293.4791,0.325898927853805
293.2385,0.325899933840933
292.9881,0.325899811044243
292.7234,0.325899592989706
292.4791,0.325899274912877
292.2215,0.325899814176112
291.9817,0.325899526414047
291.7397,0.325899697057824
291.4804,0.325899989528482
291.2232,0.325899705869125
290.9789,0.325899035125659
290.7397,0.325897098547177
290.4805,0.325896567011214
290.227,0.325896781344664
289.9738,0.325894753672344
289.732,0.325894572697712
289.471,0.32589249514555
289.2371,0.325891659856513
288.98,0.325889605766943
288.7236,0.325887323472681
288.48,0.325886423874133
288.2189,0.325883519607467
287.9766,0.325881212925621
287.739,0.325879762543868
287.4796,0.325876633133944
287.2422,0.325873887549642
286.9823,0.325870638120875
286.7248,0.325866933876566
286.4706,0.325864077266118
286.2348,0.325860750866731
285.9699,0.325857233864916
285.7401,0.325853948682529
285.4827,0.32585048176637
285.2415,0.325847475520424
284.9718,0.325843575157831
284.732,0.32584069764021
284.4722,0.32583757049248
284.228,0.325833365011202
283.9736,0.325829684772224
283.7362,0.325825760717936
283.4789,0.325822298207826
283.2252,0.325819213168818
282.9941,0.325815332325446
282.7373,0.325811755430296
282.4767,0.325808153594018
282.2242,0.325804015407323
281.9857,0.325800559349917
281.7359,0.325796675654204
281.477,0.325792732319577
281.2378,0.325789155064478
280.9877,0.325785388185928
280.7254,0.3257813059949
280.4833,0.325776293834727
280.2295,0.325773802635437
279.9774,0.325768962596181
279.7411,0.325765051162258
279.4837,0.325761592756908
279.2236,0.325757527092152
278.9869,0.325753259894007
278.7318,0.325749346886211
278.4739,0.325745414550916
278.239,0.325741397419281
277.9778,0.325736972027205
277.7386,0.325733753705128
277.4842,0.325729137603934
277.2275,0.325724860130463
276.9825,0.325721251556799
276.7263,0.3257168610844
276.4855,0.325712925445691
276.2306,0.325708662335956
275.9892,0.325704015559841
275.7349,0.325699875248684
275.4757,0.325696647085086
