Field(Oe), Temperature(K), Capacitance(pF), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
0.105, 190.6922,  2.946845    , 62, 360, 1281, 250, 1969
0.105, 190.6583,  2.946844    , 31, 453, 1281, 203, 1968
0.105, 190.4741,  2.946851    , 47, 375, 1281, 219, 1922
0.105, 190.4399,  2.946848    , 31, 516, 1281, 203, 2031
0.105, 190.4030,  2.946847    , 31, 516, 1281, 282, 2110
0.105, 190.2214,  2.946836    , 46, 313, 1281, 219, 1859
0.105, 190.1896,  2.946839    , 47, 375, 1281, 219, 1922
0.105, 190.1595,  2.946838    , 47, 359, 1281, 203, 1890
0.105, 189.9774,  2.946823    , 31, 94, 1281, 172, 1578
0.105, 189.9456,  2.946833    , 62, 406, 1282, 297, 2047
0.105, 189.9157,  2.946832    , 78, 265, 1282, 296, 1921
0.105, 189.7296,  2.946828    , 32, 265, 1281, 235, 1813
0.105, 189.6950,  2.946842    , 31, 359, 1282, 297, 1969
0.105, 189.6656,  2.946826    , 93, 250, 1282, 296, 1921
0.105, 189.4798,  2.946823    , 47, -59516, 1281, 266, -57922
0.105, 189.4456,  2.946815    , 63, 296, 1282, 234, 1875
0.105, 189.4147,  2.946824    , 47, 594, 1281, 297, 2219
0.105, 189.2280,  2.946807    , 78, 391, 1281, 250, 2000
0.105, 189.1958,  2.946812    , 47, 343, 1282, 312, 1984
0.105, 189.1644,  2.946809    , 78, 250, 1282, 234, 1844
0.105, 188.9761,  2.946825    , 31, 579, 1281, 219, 2110
0.105, 188.9443,  2.946807    , 46, 360, 1281, 250, 1937
0.105, 188.9106,  2.946810    , 47, 344, 1281, 234, 1906
0.105, 188.7284,  2.946812    , 31, 360, 1281, 172, 1844
0.105, 188.6971,  2.946792    , 47, 421, 1282, 281, 2031
0.105, 188.6634,  2.946804    , 94, 265, 1282, 234, 1875
0.105, 188.4789,  2.946796    , 31, -59609, 1281, 235, -58062
0.105, 188.4464,  2.946802    , 62, 344, 1281, 188, 1875
0.105, 188.4196,  2.946789    , 31, 62, 1282, 203, 1578
0.105, 188.2352,  2.946799    , 31, 454, 1281, 172, 1938
0.105, 188.2010,  2.946802    , 31, 437, 1282, 250, 2000
0.105, 188.1706,  2.946794    , 78, 297, 1281, 281, 1937
0.105, 187.9700,  2.946793    , 31, 219, 1281, 266, 1797
0.105, 187.9361,  2.946787    , 31, 344, 1281, 203, 1859
0.105, 187.9036,  2.946797    , 31, 391, 1281, 234, 1937
0.105, 187.7182,  2.946773    , 110, 328, 1281, 219, 1938
0.105, 187.6852,  2.946772    , 47, 359, 1281, 281, 1968
0.105, 187.6511,  2.946790    , 63, 422, 1281, 281, 2047
0.105, 187.4688,  2.946785    , 31, 219, 1281, 266, 1797
0.105, 187.4379,  2.946774    , 31, 344, 1281, 250, 1906
0.105, 187.4045,  2.946781    , 31, 375, 1282, 218, 1906
0.105, 187.2399,  2.946767    , 31, 282, 1281, 172, 1766
0.105, 187.2064,  2.946774    , 47, 546, 1282, 250, 2125
0.105, 187.1749,  2.946781    , 31, 344, 1281, 250, 1906
0.105, 186.9910,  2.946773    , 47, 297, 1281, 250, 1875
0.105, 186.9594,  2.946760    , 31, 359, 1282, 234, 1906
0.105, 186.9265,  2.946757    , 47, 359, 1282, 171, 1859
0.105, 186.7222,  2.946753    , 32, 453, 1281, 250, 2016
0.105, 186.6907,  2.946757    , 31, 360, 1281, 250, 1922
