Field(Oe), Temperature(K), Capacitance(pF), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
0.105, 183.9331,  2.946698    , 47, 500, 1281, 282, 2110
0.105, 183.9011,  2.946691    , 78, 265, 1282, 219, 1859
0.105, 183.7200,  2.946663    , 31, 328, 1281, 219, 1859
0.105, 183.6881,  2.946686    , 47, 359, 1282, 265, 1953
0.105, 183.6585,  2.946683    , 78, 297, 1282, 328, 1985
0.105, 183.4689,  2.946669    , 32, 500, 1281, 219, 2032
0.105, 183.4353,  2.946669    , 31, 390, 1282, 234, 1937
0.105, 183.4052,  2.946655    , 47, 375, 1375, 296, 2109
0.105, 183.2313,  2.946661    , 47, 484, 1282, 203, 2016
0.105, 183.2008,  2.946660    , 47, 390, 1282, 203, 1937
0.105, 183.1694,  2.946656    , 63, 359, 1281, 219, 1938
0.105, 182.9687,  2.946662    , 94, 250, 1281, 282, 1907
0.105, 182.9377,  2.946650    , 31, 312, 1282, 203, 1828
0.105, 182.9046,  2.946666    , 31, 531, 1282, 250, 2094
0.105, 182.7404,  2.946648    , 31, 78, 1281, 250, 1640
0.105, 182.7101,  2.946637    , 47, 344, 1281, 250, 1922
0.105, 182.6770,  2.946644    , 31, 360, 1281, 281, 1953
0.105, 182.4752,  2.946639    , 32, 281, 1281, 234, 1828
0.105, 182.4440,  2.946637    , 32, 375, 1375, 297, 2079
0.105, 182.4106,  2.946634    , 78, 156, 1281, 219, 1734
0.105, 182.2341,  2.946626    , 31, 203, 1282, 203, 1719
0.105, 182.2003,  2.946637    , 31, 391, 1281, 219, 1922
0.105, 182.1667,  2.946632    , 62, 360, 1281, 297, 2000
0.105, 181.9798,  2.946629    , 78, 328, 1281, 234, 1921
0.105, 181.9491,  2.946629    , 47, 360, 1281, 344, 2032
0.105, 181.9171,  2.946629    , 31, 266, 1281, 281, 1859
0.105, 181.7315,  2.946606    , 47, 406, 1281, 219, 1953
0.105, 181.6993,  2.946630    , 47, 375, 1281, 187, 1890
0.105, 181.6669,  2.946616    , 47, 407, 1281, 265, 2000
0.105, 181.4818,  2.946594    , 125, -59703, 1281, 282, -58015
0.105, 181.4515,  2.946587    , 31, 328, 1281, 235, 1875
0.105, 181.4199,  2.946604    , 47, 359, 1281, 219, 1906
0.105, 181.2345,  2.946603    , 32, 140, 1281, 313, 1766
0.105, 181.2057,  2.946594    , 31, 297, 1281, 328, 1937
0.105, 181.1752,  2.946598    , 47, 266, 1281, 203, 1797
0.105, 180.9754,  2.946595    , 78, 282, 1281, 234, 1875
0.105, 180.9414,  2.946597    , 47, 375, 1281, 266, 1969
0.105, 180.9111,  2.946587    , 47, 312, 1282, 218, 1859
0.105, 180.7244,  2.946581    , 125, 328, 1281, 235, 1969
0.105, 180.6897,  2.946585    , 47, 500, 1281, 281, 2109
0.105, 180.6578,  2.946591    , 78, 266, 1281, 266, 1891
0.105, 180.4741,  2.946577    , 47, 344, 1281, 157, 1829
0.105, 180.4406,  2.946557    , 46, 438, 1281, 203, 1968
0.105, 180.4094,  2.946564    , 63, 375, 1281, 203, 1922
0.105, 180.2282,  2.946567    , 31, 125, 1281, 219, 1656
0.105, 180.1958,  2.946561    , 63, 359, 1281, 235, 1938
0.105, 180.1634,  2.946560    , 46, 469, 1281, 344, 2140
0.105, 179.9817,  2.946558    , 31, 391, 1281, 219, 1922
0.105, 179.9494,  2.946548    , 63, 359, 1281, 281, 1984
0.105, 179.9172,  2.946551    , 94, 266, 1281, 297, 1938
0.105, 179.7294,  2.946540    , 79, 312, 1281, 219, 1891
0.105, 179.6954,  2.946542    , 63, 359, 1281, 235, 1938
0.105, 179.6635,  2.946561    , 46, 360, 1281, 281, 1968
0.105, 179.4790,  2.946546    , -59797, 250, 1281, 234, -58032
0.105, 179.4457,  2.946546    , 32, 359, 1281, 63, 1735
0.105, 179.4150,  2.946541    , 281, 312, 1282, 265, 2140
0.105, 179.2397,  2.946526    , 31, 47, 1281, 203, 1562
0.105, 179.2045,  2.946529    , 31, 407, 1281, 250, 1969
0.105, 179.1724,  2.946523    , 31, 359, 1282, 250, 1922
0.105, 178.9821,  2.946512    , 93, 360, 1281, 172, 1906
0.105, 178.9514,  2.946483    , 31, 438, 1281, 219, 1969
0.105, 178.9175,  2.946500    , 62, 344, 1281, 188, 1875
0.105, 178.7344,  2.946500    , 31, 516, 1281, 219, 2047
0.105, 178.7033,  2.946493    , 63, 359, 1281, 266, 1969
0.105, 178.6736,  2.946483    , 62, 313, 1281, 203, 1859
0.105, 178.4700,  2.946482    , 32, 312, 1281, 297, 1922
0.105, 178.4363,  2.946484    , 78, 266, 1281, 235, 1860
0.105, 178.4030,  2.946492    , 47, 468, 1282, 218, 2015
0.105, 178.2407,  2.946469    , 31, 157, 1281, 219, 1688
0.105, 178.2094,  2.946473    , 47, 359, 1281, 188, 1875
0.105, 178.1780,  2.946470    , 47, 421, 1282, 218, 1968
0.105, 177.9759,  2.946469    , 79, 156, 1281, 203, 1719
0.105, 177.9431,  2.946469    , 31, 516, 1281, 235, 2063
0.105, 177.9110,  2.946467    , 47, 375, 1281, 234, 1937
0.105, 177.7264,  2.946451    , 31, 297, 1281, 172, 1781
0.105, 177.6936,  2.946451    , 47, 422, 1281, 234, 1984
0.105, 177.6604,  2.946459    , 47, 360, 1281, 234, 1922
0.105, 177.4758,  2.946444    , 31, 485, 1281, 188, 1985
0.105, 177.4461,  2.946448    , 31, 422, 1281, 187, 1921
0.105, 177.4183,  2.946444    , 32, 62, 1281, 282, 1657
0.105, 177.2319,  2.946422    , 46, 360, 1281, 219, 1906
0.105, 177.2003,  2.946430    , 62, 360, 1281, 47, 1750
0.105, 177.1678,  2.946427    , 250, 344, 1281, 31, 1906
0.105, 176.9915,  2.946445    , 32, 171, 1282, 218, 1703
0.105, 176.9594,  2.946418    , 32, 390, 1282, 203, 1907
0.105, 176.9264,  2.946431    , 47, 390, 1281, 219, 1937
0.105, 176.7256,  2.946415    , 31, 281, 1281, 282, 1875
0.105, 176.6919,  2.946415    , 47, 312, 1281, 328, 1968
0.105, 176.6605,  2.946413    , 32, 265, 1282, 250, 1829
0.105, 176.4807,  2.946415    , 31, 63, 1281, 203, 1578
0.105, 176.4512,  2.946407    , 47, 391, 1281, 203, 1922
0.105, 176.4187,  2.946414    , 47, 391, 1281, 281, 2000
0.105, 176.2361,  2.946397    , 31, 110, 1281, 219, 1641
0.105, 176.2066,  2.946404    , 31, 391, 1281, 219, 1922
0.105, 176.1736,  2.946392    , 31, 391, 1281, 250, 1953
0.105, 175.9726,  2.946397    , 46, 188, 1281, 219, 1734
0.105, 175.9405,  2.946386    , 47, 375, 1281, 250, 1953
0.105, 175.9090,  2.946401    , 31, 360, 1281, 219, 1891
0.105, 175.7224,  2.946382    , 31, 516, 1281, 203, 2031
0.105, 175.6896,  2.946382    , 47, 500, 1281, 282, 2110
0.105, 175.6573,  2.946386    , 78, 281, 1281, 313, 1953
0.105, 175.4740,  2.946375    , 109, 109, 1282, 296, 1796
0.105, 175.4403,  2.946376    , 32, 312, 1281, 282, 1907
0.105, 175.4088,  2.946384    , 78, 281, 1281, 219, 1859
0.105, 175.2322,  2.946365    , 31, 250, 1282, 218, 1781
0.105, 175.1982,  2.946373    , 63, 359, 1281, 250, 1953
0.105, 175.1655,  2.946358    , 47, 344, 1281, 250, 1922
0.105, 174.9763,  2.946352    , 79, 343, 1282, 296, 2000
0.105, 174.9445,  2.946349    , 79, 265, 1281, 282, 1907
0.105, 174.9130,  2.946356    , 78, 281, 1281, 219, 1859
0.105, 174.7292,  2.946335    , 47, 437, 1282, 187, 1953
0.105, 174.6984,  2.946348    , 47, 406, 1281, 219, 1953
0.105, 174.6638,  2.946342    , 31, 500, 1282, 157, 1985
0.105, 174.4800,  2.946342    , 31, 312, 1282, 234, 1859
0.105, 174.4475,  2.946330    , 47, 359, 1281, 235, 1922
0.105, 174.4167,  2.946335    , 47, 359, 1281, 172, 1859
0.105, 174.2305,  2.946333    , 31, 125, 1281, 219, 1656
0.105, 174.1992,  2.946332    , 47, 375, 1281, 234, 1937
0.105, 174.1693,  2.946326    , 47, 360, 1281, 266, 1954
0.105, 173.9720,  2.946321    , 63, 203, 1281, 235, 1782
0.105, 173.9397,  2.946319    , 47, 359, 1281, 313, 2000
0.105, 173.9068,  2.946336    , 78, 250, 1281, 219, 1828
0.105, 173.7189,  2.946317    , 31, 422, 1281, 219, 1953
0.105, 173.6873,  2.946317    , 63, 359, 1281, 266, 1969
0.105, 173.6546,  2.946322    , 62, 313, 1281, 172, 1828
0.105, 173.4691,  2.946313    , 31, 516, 1281, 203, 2031
0.105, 173.4370,  2.946311    , 32, 390, 1282, 171, 1875
0.105, 173.4121,  2.946314    , 47, 63, 1281, 250, 1641
0.105, 173.2323,  2.946313    , 47, 437, 1281, 297, 2062
0.105, 173.1974,  2.946293    , 110, 234, 1281, 281, 1906
0.105, 173.1635,  2.946300    , 94, 266, 1281, 219, 1860
0.105, 172.9709,  2.946306    , 47, 531, 1282, 218, 2078
0.105, 172.9404,  2.946312    , 63, 359, 1282, 234, 1938
0.105, 172.9100,  2.946291    , 47, 359, 1281, 235, 1922
0.105, 172.7259,  2.946292    , 31, 328, 1282, 172, 1813
0.105, 172.6948,  2.946301    , 46, 422, 1282, 281, 2031
0.105, 172.6619,  2.946310    , 78, 281, 1281, 235, 1875
0.105, 172.4757,  2.946303    , 78, 359, 1282, 218, 1937
0.105, 172.4421,  2.946303    , 63, 469, 1281, 250, 2063
0.105, 172.4098,  2.946288    , 31, 360, 1281, 172, 1844
0.105, 171.9836,  2.946291    , 32, 109, 1281, 172, 1594
0.105, 171.9526,  2.946271    , 31, 438, 1281, 235, 1985
0.105, 171.9189,  2.946258    , 46, 485, 1281, 234, 2046
0.105, 171.7338,  2.946264    , 78, 203, 1281, 250, 1812
0.105, 171.7018,  2.946252    , 32, 359, 1281, 297, 1969
0.105, 171.6665,  2.946264    , 63, 281, 1281, 219, 1844
0.105, 171.4816,  2.946271    , 47, -59563, 1281, 297, -57938
0.105, 171.4496,  2.946257    , 63, 281, 1281, 360, 1985
0.105, 171.4169,  2.946267    , 31, 250, 1281, 234, 1796
0.105, 171.2449,  2.946244    , 31, 203, 1281, 235, 1750
0.105, 170.9807,  2.946251    , 31, 63, 1281, 313, 1688
0.105, 170.9466,  2.946247    , 31, 297, 1281, 281, 1890
0.105, 170.9181,  2.946239    , 110, 250, 1281, 219, 1860
0.105, 170.7290,  2.946242    , 78, 360, 1281, 203, 1922
0.105, 170.6964,  2.946251    , 31, 516, 1281, 235, 2063
0.105, 170.6648,  2.946232    , 62, 360, 1281, 297, 2000
0.105, 170.4809,  2.946237    , 31, 235, 1281, 156, 1703
0.105, 170.4475,  2.946239    , 47, 438, 1281, 47, 1813
0.105, 170.4158,  2.946234    , 281, 313, 1281, 281, 2156
0.105, 170.2370,  2.946224    , 32, 218, 1282, 203, 1735
0.105, 170.1965,  2.946215    , 78, 484, 1282, 250, 2094
0.105, 170.1650,  2.946221    , 46, 344, 1281, 282, 1953
0.105, 169.9888,  2.946229    , 47, 234, 1282, 187, 1750
0.105, 169.9588,  2.946225    , 47, 422, 1281, 266, 2016
0.105, 169.9254,  2.946237    , 78, 281, 1281, 282, 1922
0.105, 169.7180,  2.946216    , 47, 297, 1281, 219, 1844
0.105, 169.6863,  2.946209    , 63, 359, 1281, 282, 1985
0.105, 169.6536,  2.946211    , 109, 250, 1281, 297, 1937
0.105, 169.4698,  2.946196    , 62, 235, 1281, 219, 1797
0.105, 169.4397,  2.946206    , 47, 359, 1281, 235, 1922
0.105, 169.4058,  2.946206    , 62, 344, 1281, 297, 1984
0.105, 169.2250,  2.946190    , 93, 547, 1281, 266, 2187
0.105, 169.1914,  2.946206    , 31, 219, 1281, 188, 1719
0.105, 169.1648,  2.946198    , 31, 63, 1281, 234, 1609
0.105, 168.9751,  2.946189    , 32, 203, 1281, 234, 1750
0.105, 168.9434,  2.946186    , 47, 360, 1281, 234, 1922
0.105, 168.9117,  2.946195    , 47, 360, 1281, 281, 1969
0.105, 168.7260,  2.946179    , 32, 328, 1281, 234, 1875
0.105, 168.6955,  2.946180    , 47, 360, 1281, 312, 2000
0.105, 168.6626,  2.946166    , 47, 282, 1281, 297, 1907
0.105, 168.4774,  2.946192    , 93, 313, 1281, 172, 1859
0.105, 168.4518,  2.946146    , 31, 78, 1282, 265, 1656
0.105, 168.4212,  2.946166    , 31, 329, 1281, 187, 1828
0.105, 168.2199,  2.946162    , 31, 204, 1281, 219, 1735
0.105, 168.1839,  2.946159    , 31, 515, 1282, 187, 2015
0.105, 168.1543,  2.946156    , 31, 422, 1282, 250, 1985
0.105, 167.9896,  2.946134    , 47, 250, 1281, 313, 1891
0.105, 167.9576,  2.946141    , 31, 281, 1282, 234, 1828
0.105, 167.9257,  2.946150    , 62, 344, 1281, 235, 1922
0.105, 167.7403,  2.946147    , 32, 296, 1282, 250, 1860
0.105, 167.7084,  2.946124    , 31, 375, 1281, 219, 1906
0.105, 167.6774,  2.946124    , 47, 359, 1281, 250, 1937
0.105, 167.4744,  2.946124    , 62, 360, 1281, 219, 1922
0.105, 167.4411,  2.946121    , 62, 359, 1282, 218, 1921
0.105, 167.4098,  2.946105    , 32, 390, 1282, 203, 1907
0.105, 167.2250,  2.946107    , 31, 313, 1281, 187, 1812
0.105, 167.1973,  2.946109    , 32, 171, 1282, 297, 1782
0.105, 167.1652,  2.946101    , 109, 125, 1281, 188, 1703
0.105, 166.9869,  2.946100    , 47, 188, 1281, 266, 1782
0.105, 166.9566,  2.946082    , 31, 344, 1281, 234, 1890
0.105, 166.9261,  2.946095    , 47, 360, 1281, 297, 1985
0.105, 166.7232,  2.946066    , 78, 188, 1281, 234, 1781
0.105, 166.6911,  2.94606     , 63, 343, 1282, 281, 1969
0.105, 166.6596,  2.946071    , 78, 281, 1282, 203, 1844
0.105, 166.4823,  2.946060    , 31, 47, 1281, 250, 1609
0.105, 166.4494,  2.946068    , 32, 375, 1281, 219, 1907
0.105, 166.4156,  2.946061    , 47, 484, 1281, 281, 2093
0.105, 166.2332,  2.946034    , 110, 187, 1281, 282, 1860
0.105, 166.1985,  2.946042    , 31, 344, 1281, 219, 1875
0.105, 166.1708,  2.946041    , 47, 125, 1281, 219, 1672
0.105, 165.9892,  2.946033    , 157, 203, 1281, 218, 1875
0.105, 165.9544,  2.946026    , 47, 360, 1281, 219, 1907
0.105, 165.9239,  2.946027    , 62, 360, 1281, 312, 2015
0.105, 165.7206,  2.946020    , 47, 266, 1281, 203, 1797
0.105, 165.6878,  2.946029    , 31, 406, 1282, 218, 1937
0.105, 165.6570,  2.946022    , 47, 360, 1281, 234, 1922
0.105, 165.4721,  2.946016    , 31, 360, 1281, 172, 1844
0.105, 165.4371,  2.946015    , 47, 421, 1282, 281, 2031
0.105, 165.4057,  2.946004    , 78, 281, 1282, 265, 1906
0.105, 165.2193,  2.946014    , 47, 531, 1281, 235, 2094
0.105, 165.1856,  2.945983    , 62, 359, 1282, 328, 2031
0.105, 165.1530,  2.945994    , 62, 360, 1281, 234, 1937
0.105, 164.9693,  2.945989    , 93, 282, 1281, 234, 1890
0.105, 164.9380,  2.945993    , 47, 359, 1282, 218, 1906
0.105, 164.9059,  2.945981    , 63, 344, 1281, 187, 1875
0.105, 164.7414,  2.945964    , 47, 312, 1282, 187, 1828
0.105, 164.7095,  2.945968    , 31, 422, 1282, 281, 2016
0.105, 164.6783,  2.945980    , 94, 265, 1281, 219, 1859
0.105, 164.4782,  2.945964    , 31, 157, 1281, 219, 1688
0.105, 164.2258,  2.945932    , 31, 469, 1281, 172, 1953
0.105, 164.1930,  2.945937    , 47, 422, 1281, 219, 1969
0.105, 164.1689,  2.945944    , 31, 156, 1282, 46, 1515
0.105, 163.9848,  2.945940    , 31, 219, 1281, 234, 1765
0.105, 163.9520,  2.945938    , 47, 359, 1282, 281, 1969
0.105, 163.9217,  2.945943    , 94, 265, 1282, 218, 1859
0.105, 163.7177,  2.945925    , 94, 266, 1281, 234, 1875
0.105, 163.6860,  2.945913    , 47, 469, 1281, 266, 2063
0.105, 163.6530,  2.945916    , 31, 344, 1281, 188, 1844
0.105, 163.4663,  2.945920    , 94, 422, 1281, 297, 2094
0.105, 163.4337,  2.945918    , 47, 297, 1281, 328, 1953
0.105, 163.4009,  2.945914    , 94, 219, 1281, 234, 1828
0.105, 163.2330,  2.945927    , 47, 484, 1281, 188, 2000
0.105, 163.2035,  2.945906    , 47, 390, 1281, 250, 1968
0.105, 163.1697,  2.945901    , 47, 360, 1281, 219, 1907
0.105, 162.9881,  2.945895    , 47, 203, 1281, 219, 1750
0.105, 162.9552,  2.945905    , 47, 359, 1281, 282, 1969
0.105, 162.9220,  2.945886    , 93, 266, 1281, 235, 1875
0.105, 162.7386,  2.945888    , 31, 297, 1282, 250, 1860
0.105, 162.7079,  2.945885    , 31, 359, 1281, 204, 1875
0.105, 162.6721,  2.945874    , 46, 375, 1282, 187, 1890
0.105, 162.4738,  2.945882    , 31, 391, 1281, 234, 1937
0.105, 162.4396,  2.945875    , 47, 360, 1281, 250, 1938
0.105, 162.4086,  2.945873    , 31, 360, 1281, 281, 1953
0.105, 162.2258,  2.945866    , 31, 250, 1281, 172, 1734
0.105, 162.1933,  2.945869    , 31, 438, 1281, 187, 1937
0.105, 162.1607,  2.945872    , 47, 391, 1281, 172, 1891
0.105, 161.9777,  2.945857    , 47, 266, 1281, 219, 1813
0.105, 161.9444,  2.945852    , 62, 360, 1281, 234, 1937
0.105, 161.9137,  2.945836    , 47, 360, 1281, 265, 1953
0.105, 161.7298,  2.945834    , 31, 266, 1281, 188, 1766
0.105, 161.6958,  2.945833    , 31, 531, 1281, 344, 2187
0.105, 161.6644,  2.945843    , 78, 219, 1281, 344, 1922
0.105, 161.4789,  2.945828    , 63, 281, 1281, 188, 1813
0.105, 161.4491,  2.945843    , 31, 438, 1281, 281, 2031
0.105, 161.4156,  2.945824    , 94, 250, 1281, 219, 1844
0.105, 161.2285,  2.94583     , 31, 360, 1281, 172, 1844
0.105, 161.1959,  2.945807    , 47, 422, 1281, 281, 2031
0.105, 161.1638,  2.945821    , 94, 250, 1281, 188, 1813
0.105, 160.9809,  2.945821    , 141, 422, 1281, 297, 2141
0.105, 160.9465,  2.945813    , 78, 266, 1281, 187, 1812
0.105, 160.9238,  2.945810    , 32, 47, 1281, 203, 1563
0.105, 160.7205,  2.945795    , 47, 297, 1281, 187, 1812
0.105, 160.6879,  2.945788    , 32, 437, 1281, 235, 1985
0.105, 160.6549,  2.945794    , 31, 375, 1281, 281, 1968
0.105, 160.4720,  2.945780    , 94, 203, 1281, 250, 1828
0.105, 160.4394,  2.945784    , 32, 359, 1281, 282, 1954
0.105, 160.4062,  2.945780    , 109, 250, 1281, 219, 1859
0.105, 160.2175,  2.945767    , 63, 531, 1281, 172, 2047
0.105, 160.1870,  2.945777    , 32, 437, 1281, 250, 2000
0.105, 160.1566,  2.945775    , 32, 359, 1281, 188, 1860
0.105, 159.9930,  2.945743    , 31, 188, 1281, 250, 1750
0.105, 159.9610,  2.945767    , 47, 344, 1281, 344, 2016
0.105, 159.9277,  2.945754    , 62, 359, 1282, 328, 2031
0.105, 159.7257,  2.945742    , 32, 187, 1266, 250, 1735
0.105, 159.6943,  2.945756    , 47, 343, 1250, 250, 1890
0.105, 159.6611,  2.945752    , 32, 406, 1265, 297, 2000
0.105, 159.4725,  2.945722    , 78, 391, 1234, 218, 1937
0.105, 159.4437,  2.945740    , 32, 422, 1265, 250, 1969
0.105, 159.4111,  2.945739    , 47, 359, 1235, 204, 1860
0.105, 159.2249,  2.945700    , 31, 547, 1266, 218, 2062
0.105, 159.1926,  2.945716    , 32, 406, 1265, 235, 1938
0.105, 159.1633,  2.945706    , 47, 375, 1265, 235, 1922
0.105, 158.9799,  2.945715    , 31, 172, 1235, 219, 1672
0.105, 158.9457,  2.945708    , 31, 422, 1266, 250, 1969
0.105, 158.9144,  2.945697    , 47, 359, 1234, 266, 1922
0.105, 158.7298,  2.945679    , 78, 391, 1265, 235, 1969
0.105, 158.6970,  2.945680    , 62, 360, 1265, 266, 1953
0.105, 158.6645,  2.945684    , 47, 344, 1265, 235, 1891
0.105, 158.4797,  2.945669    , 47, -59532, 1266, 250, -57969
0.105, 158.4477,  2.945687    , 47, 359, 1282, 250, 1938
0.105, 158.4158,  2.945666    , 46, 360, 1281, 203, 1890
0.105, 158.2306,  2.945655    , 47, 313, 1265, 188, 1813
0.105, 158.1986,  2.945654    , 47, 422, 1250, 218, 1937
0.105, 158.1733,  2.945648    , 32, 187, 1266, 312, 1797
0.105, 157.9680,  2.945677    , 31, 219, 1266, 187, 1703
0.105, 157.9371,  2.945658    , 47, 438, 1265, 297, 2047
0.105, 157.9037,  2.945669    , 109, 235, 1281, 188, 1813
0.105, 157.7164,  2.945661    , 31, 532, 1265, 188, 2016
0.105, 157.6860,  2.945659    , 47, 437, 1235, 219, 1953
0.105, 157.6565,  2.945647    , 31, 422, 1250, 203, 1922
0.105, 157.4924,  2.945628    , 31, 234, -58718, 234, -58219
0.105, 157.4599,  2.945635    , 47, 359, 1282, 343, 2031
0.105, 157.4269,  2.945650    , 47, 250, 1266, 312, 1875
0.105, 157.2256,  2.945635    , 62, 297, 1266, 265, 1890
0.105, 157.1945,  2.945628    , 32, 375, 1265, 297, 1969
0.105, 157.1629,  2.945630    , 94, 250, 1281, 235, 1860
0.105, 156.9830,  2.945626    , 94, 78, 1250, 188, 1610
0.105, 156.9488,  2.945624    , 46, 438, 1266, 250, 2000
0.105, 156.9170,  2.945624    , 46, 360, 1265, 313, 1984
0.105, 156.7326,  2.945612    , 31, 516, 1265, 188, 2000
0.105, 156.6980,  2.945624    , 47, 422, 1234, 234, 1937
0.105, 156.6677,  2.945626    , 32, 437, 1266, 218, 1953
0.105, 156.4809,  2.945592    , 63, -59516, 1266, 234, -57953
0.105, 156.4485,  2.945603    , 31, 391, 1250, 359, 2031
0.105, 156.4155,  2.945592    , 47, 266, 1234, 281, 1844
0.105, 156.2291,  2.945597    , 32, 562, 1235, 203, 2032
0.105, 156.1984,  2.945586    , 62, 422, 1281, 235, 2000
0.105, 156.1664,  2.945584    , 47, 359, 1266, 234, 1906
0.105, 155.9861,  2.945577    , 32, 187, 1234, 219, 1672
0.105, 155.9592,  2.945563    , 31, 63, 1250, 250, 1594
0.105, 155.9277,  2.945583    , 47, 375, 1234, 265, 1937
0.105, 155.7273,  2.945559    , 31, 234, 1250, 282, 1797
0.105, 155.6943,  2.945569    , 47, 359, 1266, 62, 1734
0.105, 155.6651,  2.945558    , 281, 313, 1234, 203, 2047
0.105, 155.4857,  2.945548    , 31, 62, 1266, 187, 1546
0.105, 155.4519,  2.945552    , 47, 547, 1281, 204, 2079
0.105, 155.4194,  2.945542    , 31, 406, 1266, 265, 1968
0.105, 155.2359,  2.945539    , 31, 328, 1281, 235, 1875
0.105, 155.2044,  2.945536    , 46, 375, 1282, 234, 1937
0.105, 155.1710,  2.945529    , 47, 344, 1359, 234, 1984
0.105, 154.9829,  2.945516    , 47, 485, 1281, 234, 2047
0.105, 154.9518,  2.945524    , 47, 359, 1266, 297, 1969
0.105, 154.9215,  2.945509    , 94, 265, 1282, 234, 1875
0.105, 154.7333,  2.945506    , 31, 484, 1281, 219, 2015
0.105, 154.7004,  2.945497    , 63, 359, 1281, 282, 1985
0.105, 154.6684,  2.945488    , 78, 281, 1281, 219, 1875
0.105, 154.4821,  2.945491    , 78, -59625, 1282, 218, -58047
0.105, 154.4509,  2.945486    , 47, 360, 1281, 234, 1938
0.105, 154.4189,  2.945488    , 31, 360, 1281, 234, 1906
0.105, 154.2329,  2.945471    , 31, 484, 1282, 218, 2015
0.105, 154.2002,  2.945480    , 63, 359, 1282, 234, 1938
0.105, 154.1640,  2.945467    , 47, 484, 1281, 188, 2000
0.105, 153.9804,  2.945470    , 31, 453, 1282, 172, 1938
0.105, 153.9478,  2.945459    , 46, 438, 1234, 78, 1796
0.105, 153.9156,  2.945462    , 297, 297, 1281, 266, 2141
0.105, 153.7366,  2.945456    , 31, 110, 1281, 234, 1656
0.105, 153.7047,  2.945452    , 47, 375, 1250, 203, 1875
0.105, 153.4809,  2.945445    , 32, -59485, 1282, 187, -57984
0.105, 153.4478,  2.945428    , 47, 406, 1250, 344, 2063
0.105, 153.4163,  2.945475    , 62, 250, 1266, 312, 1890
0.105, 153.2339,  2.945464    , 31, 157, 1281, 203, 1672
0.105, 153.2024,  2.945447    , 31, 406, 1282, 218, 1937
0.105, 153.1693,  2.945464    , 47, 375, 1282, 281, 1985
0.105, 152.9702,  2.945438    , 78, 265, 1282, 203, 1828
0.105, 152.9378,  2.945452    , 47, 390, 1281, 219, 1937
0.105, 152.9052,  2.945444    , 63, 375, 1281, 266, 1985
0.105, 152.7195,  2.945415    , 94, 312, 1282, 218, 1906
0.105, 152.6834,  2.945422    , 32, 515, 1281, 219, 2047
0.105, 152.6519,  2.945408    , 31, 407, 1281, 391, 2110
0.105, 152.4852,  2.945416    , 32, -59547, 1281, 219, -58015
0.105, 152.4542,  2.945415    , 62, 360, 1281, 219, 1922
0.105, 152.4203,  2.945419    , 47, 375, 1281, 203, 1906
0.105, 152.2345,  2.945408    , 31, 500, 1281, 172, 1984
0.105, 152.2026,  2.945401    , 47, 437, 1282, 218, 1984
0.105, 152.1702,  2.945390    , 63, 344, 1281, 219, 1907
0.105, 151.9646,  2.945388    , 31, 532, 1281, 250, 2094
0.105, 151.9325,  2.945403    , 78, 312, 1282, 343, 2015
0.105, 151.9005,  2.945383    , 32, 265, 1282, 296, 1875
0.105, 151.7327,  2.945379    , 47, 437, 1281, 219, 1984
0.105, 151.6994,  2.945377    , 63, 359, 1281, 203, 1906
0.105, 151.6656,  2.945370    , 32, 406, 1281, 203, 1938
0.105, 151.4892,  2.945373    , 31, 172, -58718, 187, -58328
0.105, 151.4573,  2.945379    , 47, 391, 1281, 219, 1938
0.105, 151.4244,  2.945359    , 46, 391, 1281, 203, 1921
0.105, 151.2238,  2.945346    , 78, 156, 1281, 297, 1812
0.105, 151.1921,  2.945346    , 47, 297, 1281, 219, 1844
0.105, 151.1583,  2.945354    , 62, 375, 1282, 234, 1953
0.105, 150.9782,  2.945333    , 31, 297, 1282, 234, 1844
0.105, 150.9454,  2.945344    , 47, 359, 1281, 282, 1969
0.105, 150.9147,  2.945344    , 62, 297, 1281, 297, 1937
0.105, 150.7302,  2.945314    , 47, 407, 1281, 172, 1907
0.105, 150.6971,  2.945315    , 31, 437, 1235, 63, 1781
0.105, 150.6638,  2.945331    , 250, 359, 1266, 250, 2125
0.105, 150.4775,  2.945309    , 31, 578, 1266, 219, 2094
0.105, 150.4451,  2.945304    , 46, 391, 1281, 266, 2000
0.105, 150.4127,  2.945294    , 31, 328, 1281, 281, 1921
0.105, 150.2313,  2.945301    , 31, 406, 1266, 188, 1891
0.105, 150.1978,  2.945285    , 93, 360, 1281, 219, 1953
0.105, 150.1615,  2.945291    , 62, 500, 1281, 266, 2109
0.105, 149.9737,  2.945274    , 47, 500, 1250, 219, 2016
0.105, 149.9400,  2.945278    , 31, 531, 1282, 203, 2047
0.105, 149.9093,  2.945276    , 47, 390, 1266, 281, 1984
0.105, 149.7251,  2.945274    , 63, 484, 1281, 282, 2110
0.105, 149.6953,  2.945259    , 46, 313, 1281, 265, 1921
0.105, 149.6606,  2.945264    , 47, 313, 1281, 219, 1860
0.105, 149.4754,  2.945247    , 31, 422, 1265, 235, 1953
0.105, 149.4435,  2.945246    , 31, 406, 1266, 219, 1922
0.105, 149.4116,  2.945240    , 62, 359, 1266, 266, 1953
0.105, 149.2303,  2.945245    , 31, 172, 1266, 234, 1703
