v.	09.06.10
GCALCAg.lit 	information: 
2.0061	0.272897218882985
2.0153	0.272896385425426
2.269	0.272896469997748
2.2559	0.27289596896962
2.5122	0.272896135909298
2.5586	0.272896302639907
2.7583	0.272896219579157
2.7872	0.272895886320943
3.0255	0.272896054407004
3.0452	0.272896386717355
3.5145	0.272895971058162
3.4656	0.272896137598157
3.4785	0.272895970968172
3.5302	0.27289613776964
3.7068	0.272896138241093
3.7019	0.272896220680028
3.9083	0.272896222144805
3.9298	0.272896139005963
4.2651	0.272896140124167
4.3448	0.27289689042674
4.4729	0.272896224402021
4.3358	0.272896473709673
4.7447	0.272896308974981
4.7187	0.272896559023986
5.0395	0.272896060680667
4.9941	0.272896393757016
5.2508	0.272896395298523
5.3032	0.272896562339982
5.5153	0.272896397245604
5.5474	0.272896230954397
5.7806	0.272896565984954
5.7959	0.272896816266767
6.0126	0.272896901714953
6.0279	0.272896151690085
6.2713	0.272896654119278
6.3018	0.27289648784357
6.5178	0.272896156965692
6.5587	0.272896408471404
6.7746	0.272896576760918
6.8078	0.272896410684336
7.0387	0.272896663891089
7.0652	0.272896580965757
7.2624	0.272896000646554
7.2926	0.272896501102052
7.5123	0.272896338331111
7.5452	0.272896922112899
7.7646	0.27289625943723
7.7901	0.272896759046579
8.0135	0.272896681338737
8.0481	0.272896598593858
8.2718	0.27289677032873
8.2958	0.27289685419643
8.5219	0.272896358763565
8.5449	0.272896610320998
8.776	0.272896866282685
8.8103	0.272896617423125
9.0191	0.272896789015153
9.0492	0.272896540883699
9.2731	0.272896464379033
9.2957	0.272897048460687
9.5232	0.272896805095827
9.5472	0.272896723629123
9.7663	0.272897064794501
9.7962	0.272896399265106
10.0132	0.272896907595549
10.0459	0.272896825506696
10.2617	0.272897167983675
10.5202	0.272897096038259
10.5431	0.272897180383058
10.7747	0.272897025051642
10.8084	0.272897110078007
11.0276	0.272897204437541
11.0596	0.272897122710663
11.2826	0.27289671867971
11.3071	0.272897386761016
11.5245	0.272897315859459
11.5474	0.27289681714274
11.7658	0.272897414425103
11.7977	0.272897166461021
12.0176	0.272897347218539
12.0431	0.27289718223491
12.2742	0.272897281186873
12.298	0.27289753391236
12.5164	0.272897299458759
12.5398	0.272896967982331
12.7716	0.272897485929482
12.8063	0.272897571799824
13.0226	0.272897423153468
13.0472	0.272897257734806
13.2818	0.27289761243924
13.3055	0.272897031255383
13.5221	0.272897469059876
13.5537	0.272897471502117
13.77	0.27289749509815
13.8016	0.272897665214079
14.0214	0.272897772989234
14.0531	0.272897526843277
14.2807	0.272897721233697
14.313	0.272897557617963
14.5128	0.272897916882281
14.5356	0.272898169907774
14.77	0.272897951775384
14.794	0.272898371567359
15.012	0.27289823439079
15.0437	0.272898573394037
15.2623	0.272898439585564
15.2857	0.272897943200831
15.5252	0.272898563830407
15.549	0.272898317778423
15.7661	0.272898687170494
15.7975	0.272898525710437
16.0168	0.272898563707087
16.0406	0.272898734728219
16.2797	0.272898611756087
16.3071	0.272898867754757
16.53	0.272899159728322
16.5558	0.272898748189554
16.7792	0.272899292968351
16.811	0.272898965995829
17.0114	0.27289917510309
17.0435	0.272898932086849
17.277	0.272898983217139
17.3106	0.272899073907941
17.5097	0.272899453469112
17.5348	0.272899376121741
17.7766	0.272899100433541
17.8008	0.272899022865743
18.0175	0.272899161095519
18.0411	0.272899333870912
18.2813	0.272899562705552
18.3132	0.272899405298848
18.5106	0.272899458919502
18.5375	0.272899549784305
18.7729	0.272900115716676
18.7969	0.272899872420979
19.0141	0.272900270684824
19.0464	0.272900113770023
19.287	0.272900019836909
19.3183	0.272900280428542
19.517	0.272900427262739
19.5434	0.272900352509499
19.7568	0.272900754288747
19.7899	0.272900515904422
20.0113	0.272900926454322
20.0431	0.272900687367934
20.2591	0.272900929326461
20.291	0.272900857352646
20.5256	0.272900944848016
20.5581	0.272901456991143
21.0284	0.272901389002148
21.05	0.272901480946083
21.2692	0.272901568717203
21.2937	0.272901829111524
21.5289	0.272902012195725
21.5529	0.272901855693734
21.7703	0.272901948841324
21.8002	0.272901962320732
22.016	0.272901809574739
22.0406	0.272901820660799
22.2812	0.272902431890766
22.3054	0.272902525739788
22.5226	0.272902379546366
22.546	0.272902640745574
22.7702	0.272902749794661
22.7939	0.272902428549865
23.0113	0.272902455091725
23.0341	0.272902466626694
23.278	0.27290292596862
23.3015	0.272902939554558
23.5141	0.272902885519861
23.5413	0.272903401069577
23.7609	0.272903603417571
23.7928	0.272903288056824
24.0297	0.272903339304108
24.0618	0.272903606408075
24.2623	0.272903889294429
24.2936	0.272903324526306
24.5122	0.272904204466499
24.542	0.272903888657727
24.7599	0.272904104088252
24.7902	0.272904290695209
25.0069	0.272904259096555
25.0309	0.27290460755711
25.2682	0.272904426604363
25.2916	0.272904275295396
25.5234	0.272904343892826
25.5477	0.272904859801082
25.7697	0.272904676836091
25.8029	0.272904532938671
26.006	0.272905088154398
26.0388	0.272904695036204
26.278	0.272905198466369
26.3101	0.272905054783709
26.5269	0.272905460607003
26.5495	0.272905310161499
26.7665	0.272905555559748
26.7922	0.272905741556537
27.0292	0.272905503008652
27.053	0.272906187440801
27.2691	0.27290585658663
27.3014	0.272905548507555
27.5166	0.272906550826458
27.5485	0.272906409050078
27.7674	0.272906670066752
27.7898	0.27290660583262
28.0172	0.272906874650997
28.0413	0.272906894616125
28.2807	0.272906763929382
28.3147	0.272907125955539
28.5305	0.272907558868659
28.5621	0.272907169544533
28.7805	0.272907607863113
28.8126	0.272907470030068
29.0124	0.272907976032677
29.0448	0.272907673175897
