v.	09.06.10
GCALCAg.lit 	information: 
3.9894	0.324943071358592
4.0022	0.324943189377715
4.2646	0.324943190618566
4.5128	0.324943073848296
4.7617	0.324942839439158
5.0182	0.324943194965943
5.2848	0.324943196905336
5.5246	0.324943317020258
5.7683	0.324943201361961
6.0231	0.324943086442078
6.2747	0.324943443179455
6.5204	0.32494356443915
6.7684	0.324943568048022
7.0139	0.324943454368373
7.2615	0.324943340868423
7.512	0.324943581079495
7.7597	0.324943469426072
8.0115	0.324943475564511
8.2685	0.324943482294159
8.5162	0.324943843265639
8.77	0.324943733292866
9.0155	0.32494362378352
9.2695	0.324943397336741
9.7637	0.324943771595335
10.0123	0.324943548238019
10.2807	0.324943442820811
10.5345	0.324943456233278
10.7755	0.324943588262072
11.0167	0.324943837860746
11.2691	0.324943501883734
11.5235	0.324943519190227
12.0175	0.324943674821957
12.2647	0.324943577945034
12.5265	0.324943600456981
12.7754	0.324943388781904
13.2755	0.324943556598006
13.5265	0.324943584690501
13.7574	0.324943379010092
14.0173	0.324943177827562
14.2861	0.324943335129095
14.5225	0.324943252558422
14.7759	0.324943058857601
15.0113	0.324942862414129
15.267	0.324943143326192
15.5206	0.324942954921
15.7652	0.324942886707339
16.0134	0.324942583191563
16.2622	0.324942519927535
16.5183	0.324942342575389
16.7777	0.32494205123406
17.0295	0.324942232797122
17.2663	0.324941705477336
17.5187	0.324941303525152
18.2687	0.324941292333991
18.5239	0.324940786644151
18.7707	0.3249407338275
19.0087	0.324940600616776
19.268	0.324939987160481
19.5112	0.324939726194206
19.7802	0.324939596275394
20.0116	0.324938985016398
20.2758	0.324938623915413
20.5225	0.324938262651334
20.7718	0.324938138653021
21.0317	0.324937908998687
21.2748	0.324937318528987
21.5129	0.324936968106758
21.7608	0.324936505677653
22.0197	0.324936057118941
22.2749	0.324935252683861
22.7781	0.324934482733006
23.0374	0.324933932762594
23.2593	0.324933834172835
23.5286	0.324932827916227
23.7656	0.324932393753194
24.025	0.324931627076491
24.2614	0.324931317352143
24.5175	0.324930439677851
25.0344	0.324929525247234
25.2625	0.324928522187743
25.5101	0.324927655730583
25.782	0.324926932823569
26.0229	0.324926424961052
26.2763	0.324925460778691
26.5275	0.324924498452665
26.7624	0.324923882941897
27.022	0.324923055072873
27.2818	0.324922237844199
27.5117	0.324921157331565
27.7673	0.324920345201823
28.0129	0.324919288696391
28.2589	0.324918476705229
28.5124	0.324917319407162
28.7796	0.324916182462568
29.0168	0.324915015341784
29.2689	0.324914347844946
29.523	0.324912741123524
29.7708	0.324912086131186
30.0256	0.324910968909081
30.2698	0.324909612420103
30.524	0.324908387095258
30.7734	0.324907048174324
31.019	0.324905939347871
31.2702	0.324904729843816
31.5193	0.324903283177771
31.7785	0.324901858912873
32.0284	0.32490077772411
32.5292	0.324897810670054
32.7788	0.324896276446139
33.0246	0.324894973663563
33.5264	0.324891808857414
33.777	0.324890409771423
34.0215	0.324889004296059
34.2774	0.324887385746424
34.5278	0.324885997520037
34.771	0.324884368862295
35.0246	0.324882757211893
35.2729	0.324881026863462
35.5296	0.324879310921019
35.7768	0.324877706260748
36.0081	0.32487595641506
36.2609	0.32487436839933
36.7615	0.32487095756596
