Field(Oe), Temperature(K), Capacitance(pF), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
0.105, 280.2295,  2.937522    , 31, 63, 1140, 219, 1453
0.105, 279.9774,  2.937549    , 31, 219, 1094, 234, 1578
0.105, 279.7411,  2.937569    , 31, 94, 1141, 234, 1500
0.105, 279.4837,  2.937584    , 31, 250, 1094, 234, 1609
0.105, 279.2236,  2.937604    , 31, 563, 1093, 219, 1906
0.105, 278.9869,  2.937627    , 31, 79, 1140, 250, 1500
0.105, 278.7318,  2.937646    , 31, 235, 1078, 218, 1562
0.105, 278.4739,  2.937665    , 78, 344, 1093, 203, 1718
0.105, 278.2390,  2.937686    , 46, 266, 1063, 218, 1593
0.105, 277.9778,  2.937709    , 47, 500, 1203, 187, 1937
0.105, 277.7386,  2.937723    , 31, 360, 1156, 187, 1734
0.105, 277.4842,  2.937748    , 32, 187, 1156, 219, 1594
0.105, 277.2275,  2.937770    , 78, 78, 1109, 250, 1515
0.105, 276.9825,  2.937787    , 46, 422, 1125, 235, 1828
0.105, 276.7263,  2.937810    , 47, 375, 1203, 266, 1891
0.105, 276.4855,  2.937830    , 31, 281, 1110, 218, 1640
0.105, 276.2306,  2.937852    , 31, 187, 1266, 250, 1734
0.105, 275.9892,  2.937878    , 31, 312, 1188, 204, 1750
0.105, 275.7349,  2.937899    , 31, 188, 1281, 219, 1719
0.105, 275.4757,  2.937912    , 63, 234, 1047, 188, 1547
0.105, 275.2372,  2.937932    , 31, 328, 1141, 203, 1703
0.105, 274.9812,  2.937953    , 46, 360, 1156, 219, 1781
0.105, 274.7226,  2.937980    , 47, 250, 1235, 218, 1750
0.105, 274.4830,  2.937992    , 47, 391, 1234, 250, 1922
0.105, 274.2191,  2.938017    , 47, 344, 1187, 203, 1781
0.105, 273.9810,  2.938038    , 32, 531, 1281, 219, 2063
0.105, 273.7406,  2.938060    , 32, 296, 1235, 203, 1766
0.105, 273.4813,  2.938082    , 32, 156, 1281, 219, 1688
0.105, 273.2205,  2.938095    , 31, 407, 1234, 203, 1875
0.105, 272.9807,  2.938123    , 47, 312, 1141, 172, 1672
0.105, 272.7211,  2.938147    , 47, 297, 1281, 203, 1828
0.105, 272.4834,  2.938168    , 47, 312, 1235, 203, 1797
0.105, 272.2260,  2.938185    , 31, 375, 1281, 188, 1875
0.105, 271.9787,  2.938206    , 47, 391, 1281, 203, 1922
0.105, 271.7381,  2.938222    , 31, 328, 1281, 235, 1875
0.105, 271.4806,  2.938249    , 31, 219, 1281, 172, 1703
0.105, 271.2218,  2.938270    , 47, 250, 1235, 203, 1735
0.105, 270.9850,  2.938290    , 31, 79, 1281, 203, 1594
0.105, 270.7286,  2.938318    , 31, 157, 1281, 203, 1672
0.105, 270.4702,  2.938336    , 46, 297, 1282, 234, 1859
0.105, 270.2239,  2.938355    , 32, 422, 1281, 219, 1954
0.105, 269.9726,  2.938376    , 31, 203, 1281, 203, 1718
0.105, 269.7292,  2.938401    , 32, 437, 1281, 204, 1954
0.105, 269.4806,  2.938421    , 47, 406, 1282, 266, 2016
0.105, 269.2261,  2.938443    , 31, 313, 1281, 234, 1859
0.105, 268.9824,  2.938456    , 31, 297, 1281, 297, 1906
0.105, 268.7220,  2.938487    , 31, 313, 1234, 250, 1828
0.105, 268.4821,  2.938507    , 32, 296, 1094, 219, 1641
0.105, 268.2218,  2.938523    , 47, 484, 1094, 203, 1828
0.105, 267.9922,  2.938550    , 47, 140, 1094, 235, 1516
0.105, 267.7321,  2.938568    , 46, 344, 1094, 219, 1703
0.105, 267.4721,  2.938589    , 47, 391, 1187, 203, 1828
0.105, 267.2383,  2.938612    , 62, 94, 1094, 281, 1531
0.105, 266.9769,  2.938630    , 47, 250, 1093, 188, 1578
0.105, 266.7172,  2.938658    , 31, 422, 1094, 172, 1719
0.105, 266.4864,  2.938674    , 47, 78, 1281, 234, 1640
0.105, 266.2284,  2.938701    , 32, 250, 1234, 266, 1782
0.105, 265.9814,  2.938721    , 47, 469, 1281, 203, 2000
0.105, 265.7180,  2.938737    , 31, 422, 1281, 204, 1938
0.105, 265.4750,  2.938755    , 125, 312, 1094, 188, 1719
0.105, 265.2337,  2.938774    , 31, 641, 1093, 235, 2000
0.105, 264.9852,  2.938801    , 32, 93, 1094, 219, 1438
0.105, 264.7253,  2.938827    , 31, 203, 1094, 188, 1516
0.105, 264.4763,  2.938839    , 31, 532, 1140, 234, 1953
0.105, 264.2327,  2.938867    , 47, 391, 1094, 187, 1719
0.105, 263.9707,  2.938887    , 31, 422, 1094, 219, 1766
0.105, 263.7369,  2.938902    , 32, 62, 1094, 250, 1438
0.105, 263.4893,  2.938928    , 31, 203, 1141, 157, 1547
0.105, 263.2267,  2.938949    , 47, 421, 1235, 219, 1922
0.105, 262.9683,  2.938971    , 32, 437, 1094, 234, 1797
0.105, 262.7273,  2.938988    , 31, 531, 1094, 265, 1937
0.105, 262.4681,  2.939011    , 31, 281, 1094, 250, 1656
0.105, 262.2313,  2.939028    , 32, 218, 1094, 219, 1563
0.105, 261.9819,  2.939052    , 31, 203, 1078, 188, 1500
0.105, 261.7249,  2.939075    , 32, 156, 1094, 250, 1532
0.105, 261.4818,  2.939096    , 31, 531, 1094, 234, 1890
0.105, 261.2275,  2.939118    , 31, 422, 1094, 187, 1734
0.105, 260.9806,  2.939141    , 31, 531, 1094, 219, 1875
0.105, 260.7415,  2.939161    , 32, 343, 1094, 219, 1688
0.105, 260.4844,  2.939177    , 31, 297, 1093, 266, 1687
0.105, 260.2158,  2.939201    , 47, 469, 1094, 219, 1829
0.105, 259.9871,  2.939227    , 31, 312, 1094, 250, 1687
0.105, 259.7338,  2.939243    , 31, 94, 1094, 172, 1391
0.105, 259.4746,  2.939263    , 47, 437, 1094, 219, 1797
0.105, 259.2318,  2.939289    , 31, 344, 1281, 235, 1891
0.105, 258.9760,  2.939315    , 47, 375, 1281, 266, 1969
0.105, 258.7366,  2.939329    , 46, 141, 1281, 219, 1687
0.105, 258.4729,  2.939354    , 47, 406, 1281, 219, 1953
0.105, 258.2400,  2.939375    , 31, 62, 1282, 281, 1656
0.105, 257.9742,  2.939395    , 32, 515, 1281, 235, 2063
0.105, 257.7313,  2.939417    , 31, 391, 1281, 219, 1922
0.105, 257.4752,  2.939443    , 31, 187, 1282, 234, 1734
0.105, 257.2284,  2.939462    , 31, 422, 1281, 313, 2047
0.105, 256.9758,  2.939481    , 31, 156, 1281, 250, 1718
0.105, 256.7378,  2.939501    , 31, 125, 1281, 266, 1703
0.105, 256.4741,  2.939527    , 31, 437, 1282, 203, 1953
0.105, 256.2253,  2.939557    , 47, 485, 1281, 219, 2032
0.105, 255.9892,  2.939574    , 31, 266, 1281, 203, 1781
0.105, 255.7287,  2.939598    , 31, 516, 1281, 203, 2031
0.105, 255.4821,  2.939625    , 31, 188, 1281, 281, 1781
0.105, 255.2399,  2.939643    , 31, 78, 1282, 234, 1625
0.105, 254.9751,  2.939652    , 47, 188, 1281, 219, 1735
0.105, 254.7290,  2.939681    , 31, 484, 1282, 203, 2000
0.105, 254.4677,  2.939701    , 32, 437, 1281, 188, 1938
0.105, 254.2279,  2.939729    , 47, 328, 1281, 203, 1859
0.105, 253.9685,  2.939747    , 47, 250, 1281, 265, 1843
0.105, 253.7334,  2.939776    , 47, 250, 1281, 235, 1813
0.105, 253.4766,  2.939790    , 31, 203, 1281, 219, 1734
0.105, 253.2304,  2.939828    , 31, 172, 1281, 204, 1688
0.105, 252.9845,  2.939839    , 31, 313, 1281, 266, 1891
0.105, 252.7266,  2.939875    , 31, 78, 1282, 203, 1594
0.105, 252.4716,  2.939901    , 47, 250, 1281, 187, 1765
0.105, 252.2244,  2.939917    , 31, 562, 1282, 218, 2093
0.105, 251.9769,  2.939939    , 62, 266, 1281, 219, 1828
0.105, 251.7242,  2.939965    , 31, 297, 1281, 188, 1797
0.105, 251.4882,  2.939986    , 31, 62, 1282, 203, 1578
0.105, 251.2333,  2.940020    , 63, 62, 1281, 203, 1609
0.105, 250.9684,  2.940044    , 47, 359, 1281, 282, 1969
0.105, 250.7179,  2.940059    , 46, 313, 1281, 219, 1859
0.105, 250.4771,  2.940089    , 31, 297, 1281, 203, 1812
0.105, 250.2386,  2.940112    , 47, 125, 1281, 203, 1656
0.105, 249.9763,  2.940146    , 31, 562, 1282, 234, 2109
0.105, 249.7315,  2.940165    , 31, 515, 1282, 203, 2031
0.105, 249.4724,  2.940190    , 31, 360, 1281, 219, 1891
0.105, 249.2264,  2.940210    , 32, 484, 1281, 281, 2078
0.105, 248.9883,  2.940239    , 31, 172, 1281, 235, 1719
0.105, 248.7271,  2.940243    , 31, 312, 1282, 250, 1875
0.105, 248.4846,  2.940288    , 32, 343, 1282, 187, 1844
0.105, 248.2290,  2.940298    , 32, 359, 1281, 219, 1891
0.105, 247.9921,  2.940332    , 31, 203, 1281, 203, 1718
0.105, 247.7260,  2.940343    , 31, 422, 1281, 188, 1922
0.105, 247.4882,  2.940370    , 32, 78, 1281, 219, 1610
0.105, 247.2259,  2.940396    , 94, 343, 1282, 203, 1922
0.105, 246.9794,  2.940432    , 78, 422, 1281, 172, 1953
0.105, 246.7221,  2.940455    , 109, 235, 1281, 140, 1765
0.105, 246.4856,  2.940474    , 31, 188, 1281, 203, 1703
0.105, 246.2193,  2.940511    , 47, 312, 1281, 141, 1781
0.105, 245.9726,  2.940529    , 47, 531, 1281, 219, 2078
0.105, 245.7335,  2.940544    , 47, 250, 1281, 219, 1797
0.105, 245.4740,  2.940576    , 31, 391, 1281, 187, 1890
0.105, 245.2325,  2.940611    , 31, 188, 1281, 219, 1719
0.105, 244.9944,  2.940621    , 31, 94, 1281, 281, 1687
0.105, 244.7247,  2.940654    , 110, 375, 1281, 203, 1969
0.105, 244.4760,  2.940678    , 109, 297, 1282, 187, 1875
0.105, 244.2421,  2.940707    , 31, 203, 1282, 218, 1734
0.105, 243.9852,  2.940730    , 32, 281, 1281, 203, 1797
0.105, 243.7413,  2.940745    , 32, 312, 1281, 235, 1860
0.105, 243.4864,  2.940769    , 31, 219, 1281, 266, 1797
0.105, 243.2211,  2.940795    , 47, 468, 1282, 203, 2000
0.105, 242.9790,  2.940821    , 62, 484, 1282, 234, 2062
0.105, 242.7373,  2.940857    , 47, 359, 1282, 218, 1906
0.105, 242.4759,  2.940864    , 78, 485, 1281, 187, 2031
0.105, 242.2328,  2.940905    , 47, 297, 1281, 234, 1859
0.105, 241.9712,  2.940923    , 47, 469, 1281, 235, 2032
0.105, 241.7298,  2.940952    , 31, 313, 1281, 203, 1828
0.105, 241.4689,  2.940976    , 31, 406, 1282, 203, 1922
0.105, 241.2280,  2.941000    , 32, 312, 1281, 172, 1797
0.105, 240.9691,  2.941032    , 31, 406, 1282, 203, 1922
0.105, 240.7276,  2.941047    , 32, 437, 1281, 203, 1953
0.105, 240.4854,  2.941075    , 47, 391, 1281, 234, 1953
0.105, 240.2247,  2.941104    , 31, 187, 1282, 281, 1781
0.105, 239.9877,  2.941121    , 63, 250, 1281, 187, 1781
0.105, 239.7249,  2.941141    , 31, 515, 1282, 203, 2031
0.105, 239.4674,  2.941174    , 47, 344, 1281, 203, 1875
0.105, 239.2219,  2.941202    , 47, 484, 1281, 266, 2078
0.105, 238.9796,  2.941232    , 31, 407, 1375, 218, 2031
0.105, 238.7382,  2.941255    , 47, 266, 1281, 203, 1797
0.105, 238.4798,  2.941277    , 47, 250, 1281, 344, 1922
0.105, 238.2216,  2.941301    , 31, 328, 1282, 187, 1828
0.105, 237.9858,  2.941330    , 31, 94, 1281, 234, 1640
0.105, 237.7292,  2.941356    , 32, 62, 1281, 188, 1563
0.105, 237.4690,  2.941376    , 32, 281, 1281, 219, 1813
0.105, 237.2321,  2.941401    , 47, 312, 1281, 203, 1843
0.105, 236.9764,  2.941431    , 46, 250, 1282, 218, 1796
0.105, 236.7258,  2.941460    , 31, 656, 1281, 266, 2234
0.105, 236.4680,  2.941481    , 31, 328, 1281, 219, 1859
0.105, 236.2290,  2.941509    , 32, 171, 1282, 218, 1703
0.105, 235.9695,  2.941527    , 31, 329, 1281, 203, 1844
0.105, 235.7284,  2.941552    , 31, 297, 1281, 250, 1859
0.105, 235.4653,  2.941584    , 31, 562, 1282, 187, 2062
0.105, 235.2251,  2.941605    , 46, 313, 1281, 188, 1828
0.105, 234.9662,  2.941632    , 31, 203, 1282, 187, 1703
0.105, 234.7280,  2.941654    , 31, 422, 1282, 187, 1922
0.105, 234.4877,  2.941686    , 31, 219, 1281, 219, 1750
0.105, 234.2227,  2.941715    , 31, 516, 1281, 188, 2016
0.105, 233.9838,  2.941719    , 62, 297, 1281, 235, 1875
0.105, 233.7236,  2.941762    , 32, 328, 1281, 266, 1907
0.105, 233.4809,  2.941783    , 31, 297, 1375, 203, 1906
0.105, 233.2220,  2.941803    , 32, 297, 1281, 219, 1829
0.105, 232.9849,  2.941816    , 47, 359, 1281, 235, 1922
0.105, 232.7218,  2.941850    , 63, 250, 1281, 266, 1860
0.105, 232.4866,  2.941865    , 47, 235, 1281, 219, 1782
0.105, 232.2247,  2.941895    , 63, 468, 1282, 187, 2000
0.105, 231.9854,  2.941917    , 31, 156, 1282, 265, 1734
0.105, 231.7258,  2.941941    , 31, 360, 1281, 187, 1859
0.105, 231.4851,  2.941952    , 31, 407, 1281, 219, 1938
0.105, 231.2247,  2.941989    , 47, 406, 1282, 234, 1969
0.105, 230.9809,  2.942015    , 32, 359, 1281, 219, 1891
0.105, 230.7183,  2.942043    , 47, 453, 1282, 187, 1969
0.105, 230.4740,  2.942061    , 47, 515, 1282, 203, 2047
0.105, 230.2387,  2.942085    , 31, 63, 1281, 281, 1656
0.105, 229.9825,  2.942103    , 31, 78, 1281, 235, 1625
0.105, 229.7299,  2.942144    , 93, 110, 1281, 172, 1656
0.105, 229.4799,  2.942159    , 31, 531, 1282, 234, 2078
0.105, 229.2196,  2.942177    , 63, 187, 1282, 203, 1735
0.105, 228.9747,  2.942211    , 31, 641, 1281, 203, 2156
0.105, 228.7285,  2.942232    , 31, 94, 1281, 203, 1609
0.105, 228.4767,  2.942250    , 156, 188, 1281, 219, 1844
0.105, 228.2355,  2.942286    , 63, 109, 1281, 250, 1703
0.105, 227.9688,  2.942288    , 78, 406, 1282, 203, 1969
0.105, 227.7265,  2.942330    , 110, 422, 1281, 156, 1969
0.105, 227.4805,  2.942343    , 125, 313, 1281, 250, 1969
0.105, 227.2188,  2.942359    , 79, 296, 1282, 234, 1891
0.105, 226.9772,  2.942394    , 31, 406, 1282, 265, 1984
0.105, 226.7330,  2.942411    , 31, 297, 1281, 282, 1891
0.105, 226.4892,  2.942437    , 31, 375, 1281, 219, 1906
0.105, 226.2271,  2.942443    , 47, 437, 1281, 204, 1969
0.105, 225.9786,  2.942486    , 63, 406, 1281, 204, 1954
0.105, 225.7334,  2.942512    , 78, 312, 1282, 234, 1906
0.105, 225.4762,  2.942521    , 32, 531, 1281, 234, 2078
0.105, 225.2188,  2.942559    , 31, 234, 1281, 282, 1828
0.105, 224.9785,  2.942583    , 31, 203, 1281, 203, 1718
0.105, 224.7270,  2.942614    , 78, 187, 1282, 203, 1750
0.105, 224.4812,  2.942616    , 31, 187, 1282, 203, 1703
0.105, 224.2178,  2.942647    , 47, 594, 1281, 203, 2125
0.105, 223.9768,  2.942673    , 32, 468, 1282, 234, 2016
0.105, 223.7361,  2.942681    , 31, 109, 1281, 204, 1625
0.105, 223.4817,  2.942717    , 47, 360, 1281, 234, 1922
0.105, 223.2208,  2.942725    , 32, 281, 1281, 281, 1875
0.105, 222.9816,  2.942763    , 32, 156, 1265, 235, 1688
0.105, 222.7399,  2.942771    , 32, 203, 1281, 203, 1719
0.105, 222.4875,  2.942814    , 31, 157, 1281, 187, 1656
0.105, 222.2241,  2.942826    , 31, 531, 1266, 218, 2046
0.105, 221.9844,  2.942836    , 31, 328, 1282, 203, 1844
0.105, 221.7210,  2.942884    , 31, 625, 1281, 219, 2156
0.105, 221.4809,  2.942910    , 31, 313, 1281, 219, 1844
0.105, 221.2389,  2.942917    , 31, 328, 1281, 219, 1859
0.105, 220.9801,  2.942936    , 32, 218, 1282, 187, 1719
0.105, 220.7210,  2.942964    , 62, 422, 1281, 188, 1953
0.105, 220.4836,  2.942977    , 31, 62, 1282, 234, 1609
0.105, 220.2208,  2.943013    , 32, 500, 1281, 203, 2016
0.105, 219.9820,  2.943034    , 47, 297, 1281, 219, 1844
0.105, 219.7175,  2.943061    , 47, 281, 1282, 281, 1891
0.105, 219.4783,  2.943075    , 47, 359, 1281, 235, 1922
0.105, 219.2196,  2.943081    , 47, 297, 1281, 203, 1828
0.105, 218.9808,  2.943123    , 31, 172, 1281, 266, 1750
0.105, 218.7420,  2.94314     , 31, 297, 1281, 203, 1812
0.105, 218.4862,  2.94317     , 46, 125, 1282, 281, 1734
0.105, 218.2270,  2.94319     , 32, 187, 1281, 235, 1735
0.105, 217.9693,  2.94320     , 63, 172, 1281, 203, 1719
0.105, 217.7233,  2.94324     , 31, 641, 1281, 234, 2187
0.105, 217.4875,  2.94325     , 32, 187, 1281, 250, 1750
0.105, 217.2234,  2.94327     , 32, 406, 1281, 219, 1938
0.105, 216.9795,  2.94329     , 31, 532, 1281, 203, 2047
0.105, 216.7410,  2.94330     , 63, 250, 1281, 234, 1828
0.105, 216.4826,  2.94332     , 31, 172, 1281, 204, 1688
0.105, 216.2431,  2.94336     , 31, 297, 1375, 250, 1953
0.105, 215.9801,  2.94336     , 31, 516, 1281, 203, 2031
0.105, 215.7402,  2.94338     , 31, 282, 1281, 203, 1797
0.105, 215.4853,  2.94340     , 31, 172, 1281, 203, 1687
0.105, 215.2415,  2.94343     , 32, 359, 1281, 188, 1860
0.105, 214.9819,  2.94343     , 63, 359, 1281, 219, 1922
0.105, 214.7274,  2.94347     , 31, 156, 1282, 218, 1687
0.105, 214.4859,  2.94350     , 46, 250, 1282, 156, 1734
0.105, 214.2245,  2.94351     , 31, 485, 1281, 219, 2016
0.105, 213.9847,  2.94354     , 63, 281, 1281, 329, 1954
0.105, 213.7236,  2.94355     , 63, 343, 1282, 203, 1891
0.105, 213.4800,  2.94357     , 47, 515, 1282, 250, 2094
0.105, 213.2182,  2.94359     , 32, 484, 1281, 203, 2000
0.105, 212.9763,  2.94360     , 32, 312, 1281, 250, 1875
0.105, 212.7376,  2.94363     , 47, 250, 1281, 203, 1781
0.105, 212.4790,  2.94365     , 31, 188, 1281, 203, 1703
0.105, 212.2382,  2.94366     , 31, 406, 1282, 234, 1953
0.105, 211.9757,  2.94369     , 31, 329, 1281, 203, 1844
0.105, 211.7182,  2.94369     , 94, 312, 1282, 203, 1891
0.105, 211.4802,  2.94371     , 31, 63, 1281, 203, 1578
0.105, 211.2260,  2.94372     , 32, 93, 1282, 234, 1641
0.105, 210.9831,  2.94376     , 31, 516, 1281, 203, 2031
0.105, 210.7213,  2.94378     , 31, 313, 1281, 234, 1859
0.105, 210.4832,  2.94379     , 32, 281, 1281, 203, 1797
0.105, 210.2262,  2.94381     , 31, 297, 1282, 234, 1844
0.105, 209.9856,  2.94383     , 31, 204, 1281, 203, 1719
0.105, 209.7304,  2.94384     , 47, 250, 1281, 203, 1781
0.105, 209.4653,  2.94388     , 32, 515, 1282, 203, 2032
0.105, 209.2200,  2.94388     , 47, 375, 1281, 187, 1890
0.105, 208.9859,  2.94390     , 32, 78, 1281, 219, 1610
0.105, 208.7233,  2.94392     , 31, 484, 1281, 204, 2000
0.105, 208.4839,  2.94394     , 78, 203, 1281, 281, 1843
0.105, 208.2418,  2.94394     , 31, 250, 1281, 219, 1781
0.105, 207.9810,  2.94398     , 32, 421, 1282, 218, 1953
0.105, 207.7228,  2.94398     , 31, 203, 1282, 265, 1781
0.105, 207.4787,  2.94400     , 31, 531, 1282, 218, 2062
0.105, 207.2278,  2.94402     , 32, 78, 1281, 219, 1610
0.105, 206.9743,  2.94403     , 32, 546, 1282, 218, 2078
0.105, 206.7350,  2.94404     , 47, 313, 1281, 328, 1969
0.105, 206.4744,  2.94409     , 32, 484, 1281, 203, 2000
0.105, 206.2253,  2.94412     , 31, 657, 1281, 203, 2172
0.105, 205.9884,  2.94415     , 31, 219, 1281, 203, 1734
0.105, 205.7283,  2.94416     , 31, 406, 1282, 281, 2000
0.105, 205.4889,  2.94416     , 31, 266, 1281, 219, 1797
0.105, 205.2315,  2.94418     , 31, 172, 1281, 172, 1656
0.105, 204.9711,  2.94419     , 31, 438, 1281, 219, 1969
0.105, 204.7312,  2.94421     , 31, 78, 1282, 203, 1594
0.105, 204.4716,  2.94422     , 31, 437, 1282, 187, 1937
0.105, 204.2330,  2.94423     , 31, 157, 1281, 203, 1672
0.105, 203.9755,  2.94427     , 31, 140, 1282, 187, 1640
0.105, 203.7374,  2.94428     , 31, 94, 1281, 250, 1656
0.105, 203.4771,  2.94427     , 47, 281, 1281, 203, 1812
0.105, 203.2395,  2.94430     , 32, 78, 1281, 219, 1610
0.105, 202.9830,  2.94432     , 32, 187, 1281, 219, 1719
0.105, 202.7204,  2.94433     , 31, 531, 1250, 204, 2016
0.105, 202.4790,  2.94436     , 31, 437, 1282, 218, 1968
0.105, 202.2162,  2.94435     , 31, 438, 1281, 219, 1969
0.105, 201.9718,  2.94437     , 31, 453, 1266, 218, 1968
0.105, 201.7320,  2.94439     , 63, 109, 1281, 219, 1672
0.105, 201.4945,  2.94440     , 32, 187, 1281, 188, 1688
0.105, 201.2175,  2.94442     , 31, 313, 1281, 219, 1844
0.105, 200.9744,  2.94445     , 47, 406, 1281, 297, 2031
0.105, 200.7349,  2.94444     , 31, 188, 1281, 250, 1750
0.105, 200.4747,  2.94447     , 125, 312, 1328, 235, 2000
0.105, 200.2319,  2.94447     , 31, 297, 1281, 234, 1843
0.105, 199.9699,  2.94449     , 94, 328, 1281, 188, 1891
0.105, 199.7307,  2.94450     , 31, 281, 1282, 250, 1844
0.105, 199.4742,  2.94451     , 32, 140, 1282, 265, 1719
0.105, 199.2306,  2.94452     , 32, 515, 1282, 218, 2047
0.105, 198.9732,  2.94452     , 31, 203, 1281, 235, 1750
0.105, 198.7344,  2.94454     , 47, 141, 1281, 234, 1703
0.105, 198.4915,  2.94456     , 78, 219, 1281, 282, 1860
0.105, 198.2408,  2.94456     , 32, 156, 1281, 219, 1688
