Field(Oe), Temperature(K), Capacitance(pF), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
0.105, 300.0148,  2.937425    , 46, 313, 1281, 235, 1875
0.105, 299.7372,  2.937447    , 157, 171, 1282, 281, 1891
0.105, 299.4735,  2.937444    , 31, 453, 1282, 203, 1969
0.105, 299.2209,  2.937452    , 32, 531, 1281, 188, 2032
0.105, 298.9920,  2.937452    , 31, 281, 1281, 219, 1812
0.105, 298.7313,  2.937455    , 63, 219, 1281, 203, 1766
0.105, 298.5044,  2.937451    , 31, 63, 1281, 281, 1656
0.105, 298.2233,  2.937452    , 47, 469, 1281, 234, 2031
0.105, 297.9600,  2.937448    , 63, 312, 1281, 187, 1859
0.105, 297.7200,  2.937438    , 47, 63, 1281, 234, 1625
0.105, 297.4679,  2.937431    , 78, 437, 1282, 281, 2078
0.105, 297.2485,  2.937418    , 32, 203, 1281, 203, 1719
0.105, 296.9811,  2.937416    , 62, 125, 1282, 203, 1672
0.105, 296.7410,  2.937402    , 63, 156, 1234, 219, 1672
0.105, 296.4857,  2.937384    , 32, 531, 1281, 266, 2110
0.105, 296.2376,  2.937366    , 125, 188, 1187, 250, 1750
0.105, 295.9661,  2.937353    , 62, 360, 1140, 250, 1812
0.105, 295.7288,  2.937336    , 47, 453, 1188, 203, 1891
0.105, 295.4907,  2.937323    , 47, 313, 1094, 281, 1735
0.105, 295.2282,  2.937308    , 31, 297, 1094, 281, 1703
0.105, 294.9769,  2.937287    , 31, 422, 1141, 234, 1828
0.105, 294.7274,  2.937281    , 47, 438, 1140, 188, 1813
0.105, 294.4814,  2.937261    , 32, 312, 1094, 281, 1719
0.105, 294.2184,  2.937242    , 62, 359, 1157, 203, 1781
0.105, 293.9724,  2.937224    , 47, 359, 1094, 234, 1734
0.105, 293.7397,  2.937212    , 47, 109, 1156, 219, 1531
0.105, 293.4791,  2.937202    , 47, 203, 1234, 282, 1766
0.105, 293.2385,  2.937180    , 32, 78, 1140, 188, 1438
0.105, 292.9881,  2.937167    , 31, 204, 1140, 219, 1594
0.105, 292.7234,  2.937154    , 32, 390, 1235, 234, 1891
0.105, 292.4791,  2.937143    , 63, 250, 1234, 250, 1797
0.105, 292.2215,  2.937124    , 31, 391, 1234, 250, 1906
0.105, 291.9817,  2.937113    , 62, 250, 1141, 219, 1672
0.105, 291.7397,  2.937098    , 46, 313, 1234, 235, 1828
0.105, 291.4804,  2.937081    , 32, 250, 1140, 219, 1641
0.105, 291.2232,  2.937069    , 47, 421, 1157, 218, 1843
0.105, 290.9789,  2.937061    , 47, 312, 1141, 203, 1703
0.105, 290.7397,  2.937064    , 32, 328, 1140, 250, 1750
0.105, 290.4805,  2.937054    , 31, 312, 1094, 203, 1640
0.105, 290.2270,  2.937038    , 31, 78, 1094, 203, 1406
0.105, 289.9738,  2.937041    , 31, 312, 1141, 219, 1703
0.105, 289.7320,  2.937029    , 62, 313, 1093, 172, 1640
0.105, 289.4710,  2.937032    , 47, 296, 1188, 219, 1750
0.105, 289.2371,  2.937026    , 31, 62, 1094, 188, 1375
0.105, 288.9800,  2.937029    , 62, 250, 1094, 203, 1625
0.105, 288.7236,  2.937034    , 47, 250, 1187, 188, 1672
0.105, 288.4800,  2.937028    , 47, 422, 1141, 203, 1813
0.105, 288.2189,  2.937038    , 32, 343, 1282, 265, 1922
0.105, 287.9766,  2.937044    , 47, 125, 1140, 250, 1562
0.105, 287.7390,  2.937043    , 78, 281, 1141, 188, 1688
0.105, 287.4796,  2.937055    , 31, 281, 1079, 234, 1625
0.105, 287.2422,  2.937065    , 31, 312, 1078, 204, 1625
0.105, 286.9823,  2.937078    , 31, 313, 1047, 188, 1594
0.105, 286.7248,  2.937095    , 32, 500, 1078, 218, 1828
0.105, 286.4706,  2.937105    , 31, 297, 1094, 218, 1640
0.105, 286.2348,  2.937120    , 31, 219, 1078, 266, 1594
0.105, 285.9699,  2.937135    , 62, 375, 1079, 187, 1703
0.105, 285.7401,  2.937150    , 47, 78, 1078, 203, 1406
0.105, 285.4827,  2.937165    , 31, 453, 1078, 203, 1765
0.105, 285.2415,  2.937177    , 47, 250, 1094, 234, 1625
0.105, 284.9718,  2.937195    , 46, 188, 1125, 234, 1593
0.105, 284.7320,  2.937206    , 62, 375, 1063, 203, 1703
0.105, 284.4722,  2.937218    , 47, 297, 1063, 203, 1610
0.105, 284.2280,  2.937240    , 31, 454, 1062, 172, 1719
0.105, 283.9736,  2.937257    , 31, 328, 1110, 203, 1672
0.105, 283.7362,  2.937277    , 31, 187, 1063, 265, 1546
0.105, 283.4789,  2.937292    , 78, 250, 1062, 219, 1609
0.105, 283.2252,  2.937304    , 31, 297, 1063, 187, 1578
0.105, 282.9941,  2.937324    , 31, 78, 1063, 203, 1375
0.105, 282.7373,  2.937340    , 32, 281, 1094, 218, 1625
0.105, 282.4767,  2.937356    , 46, 438, 1094, 218, 1796
0.105, 282.2242,  2.937377    , 31, 78, 1094, 218, 1421
0.105, 281.9857,  2.937393    , 31, 78, 1094, 219, 1422
0.105, 281.7359,  2.937412    , 62, 235, 1094, 281, 1672
0.105, 281.4770,  2.937431    , 78, 328, 1094, 187, 1687
0.105, 281.2378,  2.937448    , 31, 281, 1094, 187, 1593
0.105, 280.9877,  2.937466    , 47, 297, 1094, 219, 1657
0.105, 280.7254,  2.937486    , 47, 390, 1141, 234, 1812
0.105, 280.4833,  2.937515    , 31, 375, 1188, 172, 1781
