{Adapted silver literature data file, taking low temperature values from Oliver Baumfeld and high temperature values from linear extrapolation from 360-400 K}
101	7.367361593E-4
101.5	7.4401583921E-4
102	7.513123006E-4
102.5	7.5862544171E-4
103	7.659551608E-4
103.5	7.7330135613E-4
104	7.8066392599E-4
104.5	7.8804276867E-4
105	7.9543778249E-4
105.5	8.0284886578E-4
106	8.102759169E-4
106.5	8.1771883423E-4
107	8.2517751617E-4
107.5	8.3265186115E-4
108	8.4014176762E-4
108.5	8.4764713408E-4
109	8.5516785902E-4
109.5	8.6270384101E-4
110	8.7025497863E-4
110.5	8.778211705E-4
111	8.8540231529E-4
111.5	8.9299831171E-4
112	9.006090585E-4
112.5	9.0823445446E-4
113	9.1587439846E-4
113.5	9.2352878939E-4
114	9.3119752621E-4
114.5	9.3888050795E-4
115	9.4657763368E-4
115.5	9.5428880257E-4
116	9.6201391382E-4
116.5	9.6975286674E-4
117	9.7750556068E-4
117.5	9.8527189511E-4
118	9.9305176954E-4
118.5	0.0010008450836
119	0.001008651737
119.5	0.0010164716296
120	0.0010243046612
120.5	0.0010321507319
121	0.0010400097418
121.5	0.0010478815911
122	0.0010557661802
122.5	0.0010636634095
123	0.0010715731797
123.5	0.0010794953914
124	0.0010874299456
124.5	0.0010953767432
125	0.0011033356854
125.5	0.0011113066735
126	0.001119289609
126.5	0.0011272843934
127	0.0011352909285
127.5	0.0011433091164
128	0.0011513388591
128.5	0.0011593800589
129	0.0011674326184
129.5	0.0011754964403
130	0.0011835714274
130.5	0.0011916574828
131	0.0011997545099
131.5	0.0012078624122
132	0.0012159810934
132.5	0.0012241104575
133	0.0012322504087
133.5	0.0012404008515
134	0.0012485616905
134.5	0.0012567328308
135	0.0012649141775
135.5	0.0012731056361
136	0.0012813071124
136.5	0.0012895185123
137	0.0012977397423
137.5	0.0013059707088
138	0.0013142113189
138.5	0.0013224614796
139	0.0013307210986
139.5	0.0013389900836
140	0.0013472683429
140.5	0.0013555557849
141	0.0013638523185
141.5	0.0013721578529
142	0.0013804722976
142.5	0.0013887955624
143	0.0013971275578
143.5	0.0014054681942
144	0.0014138173829
144.5	0.0014221750351
145	0.0014305410628
145.5	0.0014389153781
146	0.0014472978938
146.5	0.0014556885229
147	0.0014640871788
147.5	0.0014724937756
148	0.0014809082277
148.5	0.0014893304499
149	0.0014977603575
149.5	0.0015061978664
150	0.0015146428927
150.5	0.0015230953534
151	0.0015315551655
151.5	0.001540022247
152	0.0015484965162
152.5	0.0015569778917
153	0.0015654662931
153.5	0.0015739616401
154	0.0015824638533
154.5	0.0015909728536
155	0.0015994885627
155.5	0.0016080109027
156	0.0016165397964
156.5	0.0016250751671
157	0.0016336169388
157.5	0.0016421650361
158	0.0016507193842
158.5	0.0016592799089
159	0.0016678465368
159.5	0.0016764191949
160	0.0016849978111
160.5	0.001693582314
161	0.0017021726326
161.5	0.0017107686968
162	0.0017193704373
162.5	0.0017279777852
163	0.0017365906727
163.5	0.0017452090324
164	0.0017538327978
164.5	0.0017624619031
165	0.0017710962835
165.5	0.0017797358745
166	0.0017883806127
166.5	0.0017970304355
167	0.0018056852809
167.5	0.001814345088
168	0.0018230097963
168.5	0.0018316793466
169	0.0018403536801
169.5	0.001849032739
170	0.0018577164665
170.5	0.0018664048065
171	0.0018750977036
171.5	0.0018837951037
172	0.0018924969532
172.5	0.0019012031995
173	0.0019099137909
173.5	0.0019186286767
174	0.0019273478068
174.5	0.0019360711324
175	0.0019447986053
