Field(Oe), Temperature(K), Resisitivity(Ohm), Capacitance(pF), Loss(nS), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
82416.391, 274.9977, 58.6112785,  4.21028     ,  0.00090     , 32, 78, 1281, 219, 1610
82892.930, 274.9988, 58.6095810,  4.21020     ,  0.00092     , 32, 281, 1281, 281, 1875
83386.953, 275.0007, 58.6102600,  4.21012     ,  0.00090     , 31, 203, 1281, 266, 1781
83879.086, 275.0016, 58.6126938,  4.21004     ,  0.00095     , 31, 78, 1281, 313, 1703
84370.070, 275.0002, 58.6113358,  4.20994     ,  0.00105     , 31, 63, 1281, 297, 1672
84841.664, 275.0010, 58.6120148,  4.20984     ,  0.00094     , 47, 187, 1281, 313, 1828
85334.742, 275.0026, 58.6129227,  4.20976     ,  0.00101     , 31, 406, 1281, 219, 1937
85717.570, 274.9998, 58.6131477,  4.20974     ,  0.00098     , 109, 94, 1281, 282, 1766
86210.461, 274.9996, 58.6130333,  4.20961     ,  0.00106     , 47, 360, 1281, 281, 1969
86731.477, 275.0002, 58.6116753,  4.20954     ,  0.00102     , 47, 422, 1281, 313, 2063
87244.516, 275.0012, 58.6109962,  4.20947     ,  0.00094     , 62, 94, 1281, 266, 1703
87737.781, 275.0013, 58.6119041,  4.20940     ,  0.00084     , 31, 422, 1281, 282, 2016
88251.008, 275.0020, 58.6102028,  4.20931     ,  0.00103     , 31, 94, 1281, 282, 1688
89553.109, 274.9993, 58.6095238,  4.20912     ,  0.00096     , 31, 312, 1282, 297, 1922
90000.008, 275.0012, 58.6090813,  4.20908     ,  0.00094     , 47, 234, 1281, 219, 1781
89965.820, 275.0025, 58.6082878,  4.20921     ,  0.00093     , 94, 109, 1281, 328, 1812
89413.570, 275.0038, 58.6096458,  4.20928     ,  0.00084     , 62, 407, 1281, 312, 2062
88885.891, 275.0061, 58.6090813,  4.20934     ,  0.00107     , 46, 157, 1281, 250, 1734
88383.500, 275.0051, 58.6090813,  4.20944     ,  0.00096     , 31, 78, 1282, 218, 1609
87905.438, 275.0059, 58.6079483,  4.20952     ,  0.00094     , 47, 407, 1281, 219, 1954
87515.578, 275.0051, 58.6085129,  4.20953     ,  0.00103     , 31, 188, 1281, 297, 1797
87016.594, 275.0020, 58.6090813,  4.20961     ,  0.00102     , 31, 62, 1282, 281, 1656
86517.625, 275.0008, 58.6087379,  4.20970     ,  0.00092     , 62, 359, 1282, 234, 1937
86012.195, 274.9999, 58.6081734,  4.20977     ,  0.00098     , 32, 406, 1281, 235, 1954
85607.883, 275.0022, 58.6078339,  4.20983     ,  0.00091     , 47, 172, 1281, 312, 1812
85102.070, 274.9998, 58.6068153,  4.20992     ,  0.00107     , 31, 297, 1281, 266, 1875
84603.289, 275.0017, 58.6069260,  4.20997     ,  0.00092     , 32, 390, 1266, 312, 2000
84191.758, 275.0005, 58.6089668,  4.21007     ,  0.00094     , 31, 422, 1281, 329, 2063
83650.023, 275.0074, 58.6079483,  4.21013     ,  0.00096     , 31, 141, 1281, 266, 1719
83151.617, 275.0050, 58.6072693,  4.21022     ,  0.00096     , 94, 359, 1282, 312, 2047
82784.758, 275.0005, 58.6025085,  4.21027     ,  0.00085     , 31, 187, 1266, 297, 1781
82286.734, 274.9976, 58.6021690,  4.21035     ,  0.00101     , 79, 390, 1328, 344, 2141
81744.047, 274.9984, 58.6006966,  4.21041     ,  0.00096     , 31, 78, -58718, 281, -58328
81267.125, 274.9961, 58.6021690,  4.21048     ,  0.00092     , 31, 62, 1282, 328, 1703
80760.367, 274.9974, 58.6018295,  4.21056     ,  0.00088     , 31, 407, 1281, 297, 2016
80379.820, 274.9974, 58.6018295,  4.21063     ,  0.00100     , 125, 78, 1281, 282, 1766
79830.281, 274.9974, 58.6030731,  4.21071     ,  0.00099     , 47, 312, 1281, 235, 1875
79331.695, 275.0001, 58.6016006,  4.21079     ,  0.00101     , 47, 78, 1281, 281, 1687
77968.984, 274.9995, 58.6004677,  4.21101     ,  0.00106     , 63, 234, 1281, 282, 1860
77469.633, 275.0013, 58.6013756,  4.21109     ,  0.00093     , 63, 359, 1281, 266, 1969
76949.945, 275.0023, 58.6026230,  4.21116     ,  0.00096     , 46, 422, 1282, 281, 2031
76560.656, 275.0070, 58.6010361,  4.21124     ,  0.00094     , 94, 234, 1282, 359, 1969
76040.016, 275.0062, 58.6036415,  4.21132     ,  0.00101     , 32, 171, 1282, 281, 1766
75532.305, 275.0020, 58.6074867,  4.21143     ,  0.00093     , 47, 360, 1281, 234, 1922
75035.234, 275.0008, 58.6057854,  4.21148     ,  0.00095     , 78, 94, 1281, 328, 1781
74537.594, 274.9973, 58.6077118,  4.21158     ,  0.00095     , 32, 93, 1282, 312, 1719
74059.914, 274.9964, 58.6066933,  4.21165     ,  0.00096     , 47, 172, 1281, 265, 1765
73562.273, 274.9965, 58.6074867,  4.21175     ,  0.00091     , 31, 78, 1282, 281, 1672
73216.320, 274.9961, 58.6072578,  4.21177     ,  0.00093     , 78, 125, 1281, 281, 1765
72717.734, 274.9979, 58.6064682,  4.21187     ,  0.00101     , 31, 406, 1282, 297, 2016
72195.766, 274.9979, 58.6063538,  4.21198     ,  0.00098     , 110, 422, 1265, 250, 2047
71668.281, 275.0001, 58.6074867,  4.21206     ,  0.00090     , 31, 407, 1422, 297, 2172
71265.688, 274.9985, 58.6066933,  4.21213     ,  0.00105     , 63, 359, 1281, 313, 2016
70736.109, 274.9981, 58.6063538,  4.21219     ,  0.00096     , 78, 125, 1281, 218, 1718
70259.000, 274.9976, 58.6063538,  4.21231     ,  0.00100     , 31, 63, 1281, 297, 1672
69760.227, 274.9970, 58.6065788,  4.21241     ,  0.00095     , 31, 406, 1281, 219, 1937
69238.828, 274.9771, 58.6072578,  4.21248     ,  0.00105     , 32, 265, 1281, 282, 1860
68872.344, 274.9821, 58.6089592,  4.21256     ,  0.00088     , 62, 110, 1281, 344, 1797
68351.898, 274.9863, 58.6014900,  4.21264     ,  0.00094     , 63, 250, 1281, 297, 1891
67853.305, 274.9961, 58.6026230,  4.21272     ,  0.00096     , 47, 359, 1281, 250, 1953
67463.641, 274.9979, 58.6019402,  4.21278     ,  0.00088     , 63, 125, 1328, 281, 1797
66942.617, 275.0010, 58.6012611,  4.21290     ,  0.00095     , 31, 407, 1281, 250, 1969
66413.430, 275.0034, 58.6027336,  4.21300     ,  0.00096     , 31, 407, 1281, 281, 2000
66033.641, 274.9996, 58.6038666,  4.21307     ,  0.00072     , 63, 109, 1282, 281, 1735
65547.406, 275.0002, 58.6022797,  4.21316     ,  0.00098     , 31, 62, 1266, 328, 1687
65048.434, 274.9976, 58.6025085,  4.21326     ,  0.00086     , 31, 407, 1328, 297, 2063
64505.746, 274.9950, 58.6031876,  4.21334     ,  0.00090     , 47, 297, 1281, 250, 1875
64006.590, 274.9952, 58.6033020,  4.21347     ,  0.00100     , 32, 421, 1266, 313, 2032
63594.680, 274.9921, 58.6036415,  4.21354     ,  0.00106     , 62, 360, 1281, 281, 1984
63074.801, 274.9928, 58.6020546,  4.21361     ,  0.00100     , 47, 375, 1281, 281, 1984
62684.371, 274.9901, 58.6025085,  4.21373     ,  0.00088     , 31, 125, 1281, 281, 1718
62185.211, 274.9916, 58.6025085,  4.21381     ,  0.00096     , 31, 406, 1281, 297, 2015
61657.348, 275.0003, 58.6021690,  4.21391     ,  0.00093     , 31, 407, 1281, 281, 2000
61113.328, 274.9973, 58.6027336,  4.21401     ,  0.00101     , 31, 172, 1281, 234, 1734
60636.980, 274.9955, 58.6061668,  4.21410     ,  0.00088     , 31, 78, 1282, 219, 1625
60203.211, 274.9923, 58.6065063,  4.21419     ,  0.00096     , 110, 250, 1281, 266, 1907
59704.621, 274.9928, 58.6075249,  4.21428     ,  0.00096     , 47, 109, -58719, 281, -58282
59206.223, 274.9931, 58.6075249,  4.21438     ,  0.00098     , 94, 125, 1281, 266, 1766
58860.082, 274.9907, 58.6063919,  4.21448     ,  0.00094     , 78, 110, 1281, 281, 1750
58361.109, 274.9894, 58.6068459,  4.21456     ,  0.00096     , 31, 422, 1281, 313, 2047
57839.715, 274.9923, 58.6077538,  4.21468     ,  0.00080     , 47, 375, 1281, 328, 2031
57312.039, 274.9939, 58.6061668,  4.21478     ,  0.00091     , 31, 94, 1281, 266, 1672
56812.313, 274.9956, 58.6082039,  4.21488     ,  0.00105     , 31, 406, 1281, 282, 2000
56422.828, 274.9937, 58.6062813,  4.21498     ,  0.00094     , 31, 156, 1281, 235, 1703
55944.961, 274.9953, 58.6080933,  4.21509     ,  0.00092     , 63, 109, 1281, 328, 1781
55446.563, 274.9931, 58.6092224,  4.21517     ,  0.00092     , 31, 422, 1281, 297, 2031
54925.543, 274.9948, 58.6092224,  4.21530     ,  0.00100     , 47, 422, 1281, 328, 2078
54536.824, 274.9926, 58.6072998,  4.21537     ,  0.00107     , 62, 125, 1281, 266, 1734
54037.094, 274.9972, 58.6080933,  4.21548     ,  0.00094     , 47, 312, 1328, 297, 2000
53514.746, 274.9961, 58.6096382,  4.21558     ,  0.00101     , 32, 328, 1281, 281, 1922
53009.313, 274.9948, 58.6104317,  4.21571     ,  0.00096     , 31, 79, 1265, 250, 1625
52531.824, 274.9926, 58.6109962,  4.21582     ,  0.00102     , 63, 93, 1282, -59688, -58250
52031.902, 274.9926, 58.6109962,  4.21594     ,  0.00102     , 31, 156, 1282, 250, 1719
51531.410, 274.9921, 58.6123543,  4.21606     ,  0.00079     , 47, 438, 1281, 328, 2094
51143.074, 274.9940, 58.6100922,  4.21612     ,  0.00089     , 94, 63, 1281, 282, 1735
50643.531, 274.9936, 58.6103172,  4.21626     ,  0.00082     , 31, 391, 1281, 297, 2000
50121.750, 274.9958, 58.6126938,  4.21637     ,  0.00103     , 31, 62, 1282, 328, 1703
49644.645, 274.9929, 58.6109962,  4.21648     ,  0.00107     , 32, 422, 1281, 312, 2047
49254.781, 274.9945, 58.6108818,  4.21655     ,  0.00090     , 93, 79, 1281, 297, 1750
48754.480, 274.9945, 58.6114502,  4.21672     ,  0.00096     , 47, 360, 1281, 203, 1907
48226.621, 274.9972, 58.6125832,  4.21682     ,  0.00099     , 32, 93, 1250, 391, 1766
47748.750, 274.9969, 58.6125832,  4.21696     ,  0.00088     , 31, 78, 1266, 297, 1672
46403.340, 275.0016, 58.6140556,  4.21730     ,  0.00092     , 93, 110, 1265, 297, 1765
45903.039, 274.9980, 58.6134872,  4.21743     ,  0.00106     , 47, 78, 1266, 328, 1719
45401.219, 274.9934, 58.6142807,  4.21755     ,  0.00094     , 47, 360, 1265, 344, 2016
44881.340, 274.9916, 58.6131477,  4.21772     ,  0.00094     , 62, 360, 1250, 312, 1984
44351.004, 274.9911, 58.6139412,  4.21783     ,  0.00098     , 63, 125, 1234, 297, 1719
44013.227, 274.9919, 58.6121292,  4.21795     ,  0.00101     , 47, 187, 1266, 344, 1844
43491.258, 274.9904, 58.6140556,  4.21809     ,  0.00091     , 47, 360, 1265, 281, 1953
42984.492, 274.9923, 58.6145058,  4.21822     ,  0.00100     , 78, 110, 1281, 328, 1797
42484.004, 274.9947, 58.6137161,  4.21842     ,  0.00098     , 46, 344, 1281, 250, 1921
41962.605, 274.9965, 58.6159782,  4.21854     ,  0.00101     , 94, 375, 1328, 313, 2110
41572.742, 274.9959, 58.6143951,  4.21870     ,  0.00101     , 31, 422, 1282, 234, 1969
41050.961, 274.9970, 58.6158676,  4.21883     ,  0.00098     , 47, 125, 1328, 281, 1781
40553.320, 274.9965, 58.6151886,  4.21899     ,  0.00103     , 62, 407, 1281, 359, 2109
40162.891, 274.9976, 58.6167717,  4.21910     ,  0.00086     , 78, 125, 1281, 235, 1719
39663.348, 274.9832, 58.6163177,  4.21928     ,  0.00101     , 31, 641, 1281, 281, 2234
39111.344, 274.9875, 58.6147346,  4.21947     ,  0.00092     , 31, 78, 1282, 281, 1672
38612.566, 274.9919, 58.6128731,  4.21965     ,  0.00096     , 94, 344, 1281, 328, 2047
38223.652, 274.9938, 58.6127586,  4.21980     ,  0.00086     , 47, 406, 1282, 281, 2016
37702.254, 274.9973, 58.6134377,  4.22002     ,  0.00104     , 32, 421, -58718, 281, -57984
37181.422, 275.0001, 58.6152496,  4.22022     ,  0.00098     , 78, 157, 1281, 312, 1828
36813.422, 275.0025, 58.6132126,  4.22039     ,  0.00088     , 93, 391, 1281, 281, 2046
36292.016, 275.0009, 58.6152496,  4.22060     ,  0.00102     , 31, 94, 1281, 296, 1718
35793.234, 274.9996, 58.6146851,  4.22087     ,  0.00096     , 63, 375, 1281, 313, 2032
35263.660, 274.9976, 58.6155891,  4.22110     ,  0.00091     , 31, 406, 1282, 312, 2031
34882.543, 274.9974, 58.6143456,  4.22132     ,  0.00091     , 109, 109, 1282, 281, 1781
34382.430, 274.9953, 58.6146851,  4.22165     ,  0.00082     , 31, 78, 1281, 407, 1797
33897.523, 274.9944, 58.6151352,  4.22204     ,  0.00088     , 31, 422, 1281, 282, 2016
33375.363, 274.9959, 58.6157036,  4.22253     ,  0.00082     , 94, 78, 1282, 234, 1688
32876.957, 274.9944, 58.6157036,  4.22307     ,  0.00094     , 47, 344, 1281, 391, 2063
32486.715, 274.9951, 58.6155891,  4.22354     ,  0.00096     , 94, 344, 1281, 328, 2047
31943.645, 274.9998, 58.6164970,  4.22430     ,  0.00088     , 47, 125, 1281, 313, 1766
31466.719, 274.9994, 58.6159554,  4.22532     ,  0.00082     , 32, 187, 1281, 282, 1782
30967.363, 274.9966, 58.6156158,  4.22624     ,  0.00095     , 32, 62, 1281, 313, 1688
30460.975, 274.9982, 58.6157303,  4.22750     ,  0.00096     , 47, 359, -58718, 234, -58078
30077.955, 274.9946, 58.6153908,  4.22829     ,  0.00082     , 110, 93, 1282, 421, 1906
29600.268, 274.9952, 58.6168633,  4.22952     ,  0.00098     , 109, 78, 1281, 282, 1750
29092.736, 274.9945, 58.6172028,  4.23107     ,  0.00095     , 63, 391, 1281, 328, 2063
28549.277, 274.9958, 58.6168633,  4.23252     ,  0.00101     , 47, 344, 1281, 344, 2016
28181.838, 274.9960, 58.6168633,  4.23373     ,  0.00088     , 62, 125, 1282, 281, 1750
27683.234, 274.9958, 58.6156158,  4.23503     ,  0.00082     , 31, 78, 1282, 343, 1734
27182.932, 274.9984, 58.6165237,  4.23611     ,  0.00090     , 109, 344, 1281, 235, 1969
26661.721, 274.9962, 58.6178818,  4.23701     ,  0.00095     , 110, 422, 1281, 375, 2188
26272.617, 274.9980, 58.6168633,  4.23747     ,  0.00086     , 156, 390, 1282, 281, 2109
25751.410, 274.9975, 58.6174278,  4.23803     ,  0.00082     , 31, 391, 1281, 250, 1953
25222.789, 274.9991, 58.6170883,  4.23855     ,  0.00089     , 47, 63, 1422, 312, 1844
24862.959, 274.9981, 58.6177673,  4.23887     ,  0.00082     , 47, 593, 1282, 297, 2219
24290.996, 274.9987, 58.6186752,  4.23924     ,  0.00087     , 94, 360, 1281, 234, 1969
23769.979, 274.9981, 58.6211014,  4.23950     ,  0.00088     , 31, 422, 1281, 281, 2015
23402.354, 274.9978, 58.6221199,  4.23967     ,  0.00086     , 47, 141, 1328, 281, 1797
22881.525, 274.9981, 58.6218910,  4.23978     ,  0.00098     , 63, 359, 1281, 219, 1922
22360.693, 274.9966, 58.6220055,  4.23984     ,  0.00098     , 125, 172, 1281, 344, 1922
21860.203, 274.9993, 58.6221199,  4.23990     ,  0.00095     , 78, 375, 1281, 219, 1953
21472.240, 274.9989, 58.6231384,  4.23999     ,  0.00094     , 109, 110, 1281, 328, 1828
20993.988, 274.9969, 58.6226845,  4.24005     ,  0.00095     , 32, 406, 1281, 266, 1985
20465.174, 274.9982, 58.6218910,  4.24012     ,  0.00090     , 31, 390, 1282, 281, 1984
20082.918, 274.9965, 58.6221199,  4.24015     ,  0.00082     , 31, 187, 1282, 437, 1937
19582.803, 274.9991, 58.6222305,  4.24021     ,  0.00093     , 31, 78, 1281, 266, 1656
18098.816, 274.9983, 58.6230240,  4.24033     ,  0.00088     , 47, 188, 1281, 344, 1860
17575.326, 274.9990, 58.6242714,  4.24039     ,  0.00088     , 78, 360, 1328, 359, 2125
17185.648, 274.9996, 58.6237030,  4.24040     ,  0.00098     , 110, 172, 1281, 328, 1891
16685.156, 275.0011, 58.6230545,  4.24042     ,  0.00088     , 47, 125, 1281, 328, 1781
16186.185, 274.9981, 58.6224899,  4.24049     ,  0.0011      , 32, 390, 1282, 328, 2032
15678.853, 274.9970, 58.6229439,  4.24049     ,  0.00082     , 31, 62, -58718, 312, -58313
14309.675, 274.9994, 58.6239624,  4.24059     ,  0.00090     , 31, 312, 1328, 235, 1906
13788.082, 274.9994, 58.6233978,  4.24061     ,  0.00101     , 32, 312, 1281, 329, 1954
13265.272, 274.9986, 58.6232834,  4.24069     ,  0.00095     , 31, 328, 1328, 360, 2047
12873.694, 275.0001, 58.6254349,  4.24067     ,  0.00103     , 31, 360, 1281, 344, 2016
12306.102, 274.9989, 58.6250954,  4.24071     ,  0.00105     , 47, 297, 1422, 375, 2156
11915.853, 275.0001, 58.6252098,  4.24078     ,  0.00098     , 31, 203, 1281, 282, 1797
11391.030, 275.0006, 58.6233978,  4.24078     ,  0.00085     , 31, 360, 1281, 219, 1891
10881.942, 275.0013, 58.6250954,  4.24077     ,  0.00090     , 31, 78, 1422, 297, 1828
10357.483, 274.9996, 58.6249809,  4.24082     ,  0.00100     , 31, 188, 1422, 297, 1938
9965.333, 274.9996, 58.6248703,  4.24083     ,  0.00081     , 78, 172, 1282, 296, 1828
9441.514, 275.0012, 58.6247559,  4.24084     ,  0.00090     , 172, 250, 1328, 312, 2062
9079.721, 275.0016, 58.6275711,  4.24087     ,  0.00094     , 63, 359, 1281, 219, 1922
8526.116, 274.9998, 58.6265526,  4.24089     ,  0.00102     , 31, 422, 1282, 281, 2016
8001.421, 274.9997, 58.6270027,  4.24092     ,  0.00090     , 32, 390, 1281, 235, 1938
7609.596, 275.0041, 58.6273460,  4.24095     ,  0.00100     , 63, 156, 1281, 329, 1829
7084.161, 275.0016, 58.6266632,  4.24098     ,  0.00077     , 31, 282, 1281, 297, 1891
6558.213, 274.9999, 58.6275711,  4.24096     ,  0.00094     , 31, 359, 1281, 297, 1968
6165.228, 275.0001, 58.6273460,  4.24099     ,  0.00095     , 31, 94, 1281, 297, 1703
5660.664, 275.0015, 58.6293831,  4.24104     ,  0.00095     , 31, 360, 1281, 187, 1859
5148.054, 275.0026, 58.6287041,  4.24103     ,  0.00095     , 47, 78, 1282, 281, 1688
4641.914, 275.0011, 58.6284752,  4.24104     ,  0.00100     , 31, 422, 1328, 281, 2062
4224.594, 274.9990, 58.6287041,  4.24106     ,  0.00082     , 78, 328, 1282, 296, 1984
3694.386, 275.0023, 58.6285896,  4.24106     ,  0.00097     , 47, 297, 1281, 297, 1922
3327.687, 275.0020, 58.6288147,  4.24109     ,  0.00098     , 47, 125, 1281, 250, 1719
2810.305, 275.0024, 58.6288147,  4.24111     ,  0.00096     , 31, 422, 1282, 218, 1953
2275.661, 274.9989, 58.6283646,  4.24114     ,  0.00098     , 32, 171, 1282, 281, 1766
1738.428, 275.0028, 58.6267128,  4.24114     ,  0.00082     , 31, 469, 1281, 328, 2109
1335.317, 275.0031, 58.6273918,  4.24112     ,  0.00088     , 31, 422, 1282, 343, 2078
906.807, 275.0016, 58.6264839,  4.24118     ,  0.00107     , 31, 407, -58672, 281, -57953
359.929, 274.9989, 58.6279564,  4.24119     ,  0.00088     , 31, 328, 1281, 219, 1859
-0.035, 275.0027, 58.6276169,  4.24118     ,  0.00082     , 46, 313, 1281, 266, 1906
96.161, 280.0042, 57.8984070,  4.24484     ,  0.00088     , 47, 187, -58718, 203, -58281
541.331, 280.0097, 57.8985214,  4.24484     ,  0.00098     , 46, 375, 1282, 203, 1906
2017.343, 280.0045, 57.8977585,  4.24479     ,  0.00078     , 31, 328, 1422, 234, 2031
2468.418, 280.0013, 57.8982124,  4.24480     ,  0.00082     , 32, 406, 1281, 250, 1969
3055.016, 280.0026, 57.8982124,  4.24478     ,  0.00095     , 109, 172, 1281, 250, 1812
3448.304, 279.9986, 57.8975334,  4.24477     ,  0.00098     , 47, 172, 1281, 281, 1781
3965.147, 280.0013, 57.8965111,  4.24474     ,  0.00088     , 93, 78, 1282, 265, 1718
4483.886, 280.0017, 57.8985519,  4.24477     ,  0.00093     , 47, 125, 1281, 297, 1750
4830.032, 280.0002, 57.8969650,  4.24475     ,  0.00088     , 32, 125, 1281, 312, 1750
5332.049, 280.0020, 57.8984375,  4.24474     ,  0.00091     , 62, 110, 1281, 312, 1765
5814.102, 280.0035, 57.8975334,  4.24475     ,  0.00086     , 31, 78, 1282, 281, 1672
6285.702, 280.0060, 57.8978729,  4.24471     ,  0.00096     , 31, 63, 1281, 250, 1625
6757.306, 280.0052, 57.8974190,  4.24474     ,  0.00096     , 32, 93, 1282, 437, 1844
7249.624, 280.0046, 57.8971939,  4.24474     ,  0.00088     , 47, 406, 1281, 219, 1953
7765.135, 280.0018, 57.8968544,  4.24468     ,  0.00098     , 32, 156, 1281, 250, 1719
8236.924, 279.9951, 57.8971939,  4.24467     ,  0.00084     , 32, 203, 1281, 203, 1719
9700.769, 280.0030, 57.8999290,  4.24466     ,  0.00095     , 47, 109, 1281, 250, 1687
10171.989, 280.0051, 57.9002686,  4.24466     ,  0.00094     , 32, 156, 1281, 203, 1672
10664.492, 280.0081, 57.9001579,  4.24467     ,  0.00080     , 47, 250, 1328, 281, 1906
11158.333, 280.0054, 57.8994789,  4.24465     ,  0.00085     , 31, 390, 1282, 265, 1968
11541.731, 280.0043, 57.9000435,  4.24464     ,  0.00091     , 109, 125, 1281, 282, 1797
12035.952, 280.0060, 57.9014015,  4.24461     ,  0.00082     , 32, 422, 1281, 312, 2047
12559.064, 280.0047, 57.8999290,  4.24461     ,  0.00104     , 31, 63, 1281, 281, 1656
13030.472, 280.0062, 57.9002686,  4.24460     ,  0.00081     , 31, 63, 1281, 281, 1656
13502.274, 280.0021, 57.8986855,  4.24461     ,  0.00085     , 31, 63, 1281, 297, 1672
13996.872, 280.0024, 57.8995895,  4.24457     ,  0.00081     , 31, 63, 1281, 266, 1641
14469.989, 280.0025, 57.8997040,  4.24455     ,  0.00079     , 47, 63, 1281, 328, 1719
14963.832, 280.0011, 57.8997040,  4.24458     ,  0.00082     , 63, 343, 1282, 312, 2000
15456.345, 280.0041, 57.8982315,  4.24455     ,  0.00086     , 31, 328, 1282, 250, 1891
15842.786, 280.0038, 57.8993645,  4.24456     ,  0.00093     , 31, 203, 1281, 250, 1765
16338.146, 280.0030, 57.9007225,  4.24454     ,  0.00082     , 31, 94, 1281, 266, 1672
16810.125, 280.0027, 57.9015694,  4.24454     ,  0.00080     , 63, 78, 1281, 328, 1750
17290.277, 280.0013, 57.8997574,  4.24457     ,  0.00100     , 32, 62, 1281, 235, 1610
17763.020, 280.0023, 57.9000969,  4.24454     ,  0.00088     , 31, 234, 1281, 235, 1781
18257.240, 280.0042, 57.8993073,  4.24453     ,  0.00101     , 31, 78, 1281, 281, 1671
18752.027, 280.0014, 57.9000969,  4.24450     ,  0.00092     , 32, 78, 1281, 250, 1641
19225.527, 280.0041, 57.9013443,  4.24451     ,  0.00079     , 32, 78, 1281, 281, 1672
19719.557, 280.0031, 57.8995323,  4.24445     ,  0.00085     , 47, 390, 1282, 234, 1953
20222.332, 280.0033, 57.9005508,  4.24444     ,  0.00095     , 31, 78, 1282, 297, 1688
20716.357, 280.0028, 57.8987389,  4.24445     ,  0.00086     , 47, 360, 1281, 234, 1922
21094.436, 280.0019, 57.8990784,  4.24442     ,  0.00094     , 94, 110, 1281, 312, 1797
21597.018, 280.0031, 57.9003258,  4.24442     ,  0.00089     , 47, 360, 1422, 297, 2141
22134.576, 280.0031, 57.8997574,  4.24441     ,  0.00083     , 32, 187, 1281, 282, 1782
22628.984, 280.0023, 57.8997574,  4.244364    ,  0.00098     , 31, -59609, 1281, 234, -58047
23016.754, 280.0076, 57.8993073,  4.244369    ,  0.00085     , 31, 266, 1281, 219, 1797
23532.266, 280.0056, 57.8993073,  4.24434     ,  0.00095     , 110, 125, 1281, 219, 1735
24026.865, 280.0031, 57.8998718,  4.244340    ,  0.00088     , 94, 375, 1281, 297, 2047
24551.873, 280.0017, 57.8970871,  4.244309    ,  0.00076     , 31, 359, 1282, 281, 1953
24929.381, 280.0015, 57.8978806,  4.244282    ,  0.00092     , 62, 109, 1282, 250, 1703
25431.584, 279.9987, 57.8960686,  4.244282    ,  0.00095     , 62, 110, 1281, 281, 1734
25904.514, 280.0008, 57.8968620,  4.244268    ,  0.00080     , 31, 78, 1282, 281, 1672
26399.494, 280.0016, 57.8974266,  4.244233    ,  0.00091     , 47, 375, 1281, 234, 1937
26915.570, 280.0025, 57.8968620,  4.244207    ,  0.00095     , 31, 78, 1281, 344, 1734
27410.738, 280.0013, 57.8964081,  4.244203    ,  0.00094     , 31, 328, 1422, 266, 2047
27796.420, 280.0021, 57.8967476,  4.244158    ,  0.00101     , 63, 312, 1282, 297, 1954
28313.070, 280.0012, 57.8978806,  4.244147    ,  0.00086     , 32, 422, 1281, 265, 2000
28837.316, 280.0017, 57.8978806,  4.244126    ,  0.00081     , 31, 94, 1281, 328, 1734
29310.822, 280.0039, 57.8975410,  4.244082    ,  0.00086     , 47, 63, 1281, 281, 1672
29783.748, 280.0031, 57.8966331,  4.244056    ,  0.00084     , 31, 94, -58719, 234, -58360
30278.158, 280.0051, 57.8968620,  4.244026    ,  0.00074     , 32, 203, 1281, 266, 1782
30772.754, 280.0053, 57.8962936,  4.244022    ,  0.00086     , 32, 203, 1281, 297, 1813
31247.205, 280.0064, 57.8958397,  4.243985    ,  0.00090     , 31, 94, 1281, 281, 1687
33577.254, 280.0009, 57.8952751,  4.243853    ,  0.00092     , 62, 188, 1328, 281, 1859
34073.563, 279.9998, 57.8958397,  4.243787    ,  0.00090     , 32, 406, 1281, 188, 1907
34610.930, 280.0013, 57.8948212,  4.243718    ,  0.00085     , 125, 422, 1282, 343, 2172
34997.180, 280.0021, 57.8958397,  4.243700    ,  0.00076     , 110, 78, 1281, 266, 1735
35471.629, 280.0005, 57.8947105,  4.243665    ,  0.00086     , 32, 62, 1281, 282, 1657
35966.035, 280.0012, 57.8942566,  4.243605    ,  0.00075     , 31, 406, 1297, 281, 2015
36469.566, 280.0024, 57.8951607,  4.243579    ,  0.00081     , 31, 78, 1328, 281, 1718
36964.355, 280.0038, 57.8938026,  4.24352     ,  0.00082     , 31, 406, 1282, 359, 2078
37480.438, 279.9944, 57.8944817,  4.243448    ,  0.00085     , 31, 313, 1281, 281, 1906
38835.352, 280.0014, 57.8941269,  4.243273    ,  0.00086     , 125, 296, 1282, 203, 1906
39331.473, 280.0017, 57.8945808,  4.243178    ,  0.00081     , 63, 125, 1281, 219, 1688
39824.547, 280.0041, 57.8955994,  4.243091    ,  0.00085     , 47, 265, 1282, 328, 1922
40326.559, 280.0035, 57.8948059,  4.243025    ,  0.00085     , 32, 93, 1282, 265, 1672
40799.488, 280.0070, 57.8937874,  4.242902    ,  0.00092     , 31, 94, 1281, 250, 1672
41273.750, 280.0051, 57.8955994,  4.242818    ,  0.00078     , 31, 78, 1281, 281, 1671
41768.156, 280.0026, 57.8929939,  4.242722    ,  0.00088     , 32, 62, 1281, 297, 1672
42263.324, 280.0025, 57.8945808,  4.242573    ,  0.00104     , 63, 359, 1281, 282, 1985
42758.492, 279.9999, 57.8935623,  4.242417    ,  0.00093     , 31, 407, 1265, 235, 1938
43144.168, 280.0020, 57.8951454,  4.242281    ,  0.00083     , 31, 187, 1282, 265, 1765
43640.289, 280.0006, 57.8950348,  4.242094    ,  0.00095     , 31, 78, 1281, 266, 1656
